Unnamed: 0,BUF,KAN,week,year,game_id
First Downs,21,21,14.0,2023,204
Rush-Yds-TDs,28-118-1,18-82-1,14.0,2023,204
Cmp-Att-Yd-TD-INT,23-42-233-1-1,25-43-271-1-1,14.0,2023,204
Sacked-Yards,3-24,1-7,14.0,2023,204
Net Pass Yards,209,264,14.0,2023,204
Total Yards,327,346,14.0,2023,204
Fumbles-Lost,1-0,1-1,14.0,2023,204
Turnovers,1,2,14.0,2023,204
Penalties-Yards,4-35,7-45,14.0,2023,204
Third Down Conv.,6-15,6-12,14.0,2023,204
Fourth Down Conv.,1-1,0-1,14.0,2023,204
Time of Possession,35:21,24:39,14.0,2023,204
