Quarter,Time,Down,ToGo,Location,TEN,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Titans to receive the opening kickoff.",,,14.0,2023,208
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,208
1.0,15:00,1.0,10.0,TEN 25,0.0,0.0,Derrick Henry left tackle for -1 yards (tackle by David Long),0.61,-0.07,14.0,2023,208
1.0,14:24,2.0,11.0,TEN 24,0.0,0.0,Will Levis pass complete short right to Treylon Burks for 1 yard (tackle by Andrew Van Ginkel),-0.07,-0.62,14.0,2023,208
1.0,13:38,3.0,10.0,TEN 25,0.0,0.0,Will Levis pass incomplete short right intended for DeAndre Hopkins (defended by Xavien Howard),-0.62,-1.7,14.0,2023,208
1.0,13:31,4.0,10.0,TEN 25,0.0,0.0,"Ty Zentner punts 47 yards, fair catch by Braxton Berrios at MIA-28",-1.7,-0.81,14.0,2023,208
1.0,13:23,1.0,10.0,MIA 28,0.0,0.0,Raheem Mostert right end for no gain (tackle by Roger McCreary),0.81,0.26,14.0,2023,208
1.0,13:02,2.0,10.0,MIA 28,0.0,0.0,Tua Tagovailoa pass complete deep middle to Jaylen Waddle for 16 yards (tackle by Amani Hooker),0.26,1.86,14.0,2023,208
1.0,12:46,1.0,10.0,MIA 44,0.0,0.0,De'Von Achane right end for no gain (tackle by Denico Autry),1.86,1.32,14.0,2023,208
1.0,12:07,2.0,10.0,MIA 44,0.0,0.0,Tua Tagovailoa pass complete short left to Raheem Mostert for 4 yards (tackle by Roger McCreary),1.32,1.16,14.0,2023,208
1.0,11:19,3.0,6.0,MIA 48,0.0,0.0,Tua Tagovailoa pass complete deep left to Tyreek Hill for 19 yards,1.16,3.38,14.0,2023,208
1.0,10:54,1.0,10.0,TEN 33,0.0,0.0,Tua Tagovailoa pass complete short middle to Durham Smythe for 9 yards (tackle by K'Von Wallace),3.38,4.05,14.0,2023,208
1.0,10:39,2.0,1.0,TEN 24,0.0,0.0,Raheem Mostert up the middle for 15 yards (tackle by Sean Murphy-Bunting and Roger McCreary),4.05,5.14,14.0,2023,208
1.0,10:01,1.0,9.0,TEN 9,0.0,0.0,Raheem Mostert left end for 7 yards (tackle by K'Von Wallace and Roger McCreary),5.14,5.72,14.0,2023,208
1.0,9:20,2.0,2.0,TEN 2,0.0,0.0,"Tua Tagovailoa aborted snap, recovered by Tua Tagovailoa at TEN-2 Tua Tagovailoa sacked by Jaleel Johnson for -5 yards. Tua Tagovailoa fumbles (forced by Jaleel Johnson), recovered by TK McLendon at TEN-7",5.72,0.38,14.0,2023,208
1.0,9:14,1.0,10.0,TEN 7,0.0,0.0,"Penalty on Dillon Radunz: False Start, 3 yards (accepted) (no play)",-0.38,-0.49,14.0,2023,208
1.0,9:14,1.0,13.0,TEN 4,0.0,0.0,Derrick Henry up the middle for 2 yards (tackle by Bradley Chubb),-0.49,-0.85,14.0,2023,208
1.0,8:38,2.0,11.0,TEN 6,0.0,0.0,Will Levis pass incomplete deep middle intended for DeAndre Hopkins,-0.85,-1.54,14.0,2023,208
1.0,8:31,3.0,11.0,TEN 6,0.0,6.0,"Will Levis pass short middle intended for Tyjae Spears is intercepted by Zach Sieler at TEN-5 and returned for 5 yards, touchdown",-1.54,-7.0,14.0,2023,208
1.0,8:25,,,TEN 15,0.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,14.0,2023,208
1.0,8:25,,,MIA 35,0.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,208
1.0,8:25,1.0,10.0,TEN 25,0.0,7.0,Tyjae Spears right guard for 3 yards (tackle by David Long),0.61,0.47,14.0,2023,208
1.0,7:40,2.0,7.0,TEN 28,0.0,7.0,Will Levis pass complete short middle to Chigoziem Okonkwo for 10 yards (tackle by Xavien Howard and Brandon Jones),0.47,1.47,14.0,2023,208
1.0,6:58,1.0,10.0,TEN 38,0.0,7.0,Derrick Henry left tackle for 1 yard (tackle by Duke Riley),1.47,0.99,14.0,2023,208
1.0,6:34,2.0,10.0,TEN 39,0.0,7.0,Derrick Henry left end for 3 yards (tackle by Raekwon Davis and Zach Sieler),0.99,0.7,14.0,2023,208
1.0,5:53,3.0,7.0,TEN 42,0.0,7.0,Will Levis sacked by Christian Wilkins for -7 yards,0.7,-1.04,14.0,2023,208
1.0,5:11,4.0,14.0,TEN 35,0.0,7.0,"Ty Zentner punts 53 yards, fair catch by Braxton Berrios at MIA-12",-1.04,0.35,14.0,2023,208
1.0,5:02,1.0,10.0,MIA 12,0.0,7.0,Raheem Mostert up the middle for 3 yards (tackle by Azeez Al-Shaair),-0.35,-0.5,14.0,2023,208
1.0,4:23,2.0,7.0,MIA 15,0.0,7.0,De'Von Achane right end for 15 yards (tackle by Azeez Al-Shaair and Amani Hooker),-0.5,0.94,14.0,2023,208
1.0,3:43,1.0,10.0,MIA 30,0.0,7.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 13 yards (tackle by Tre Avery),0.94,1.8,14.0,2023,208
1.0,3:06,1.0,10.0,MIA 43,0.0,7.0,Tua Tagovailoa pass complete short right to Tyreek Hill for -6 yards (tackle by Sean Murphy-Bunting),1.8,0.44,14.0,2023,208
1.0,2:25,2.0,16.0,MIA 37,0.0,7.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 15 yards (tackle by Jack Gibbens),0.44,1.75,14.0,2023,208
