Quarter,Time,Down,ToGo,Location,BUF,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,14.0,2023,204
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 55 yards,",0.0,0.61,14.0,2023,204
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,Clyde Edwards-Helaire right guard for 5 yards (tackle by Jordan Phillips and Terrel Bernard),0.61,0.74,14.0,2023,204
1.0,14:30,2.0,5.0,KAN 30,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 7 yards (tackle by Taron Johnson),0.74,1.4,14.0,2023,204
1.0,13:57,1.0,10.0,KAN 37,0.0,0.0,Patrick Mahomes pass complete short left to Kadarius Toney for 9 yards (tackle by Christian Benford),1.4,2.07,14.0,2023,204
1.0,13:20,2.0,1.0,KAN 46,0.0,0.0,Clyde Edwards-Helaire right end for 5 yards (tackle by Taron Johnson),2.07,2.32,14.0,2023,204
1.0,12:44,1.0,10.0,BUF 49,0.0,0.0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,2.32,1.78,14.0,2023,204
1.0,12:37,2.0,10.0,BUF 49,0.0,0.0,Kadarius Toney right end for 14 yards (tackle by Micah Hyde and Rasul Douglas),1.78,3.25,14.0,2023,204
1.0,12:09,1.0,10.0,BUF 35,0.0,0.0,Clyde Edwards-Helaire left end for 5 yards (tackle by Linval Joseph),3.25,3.38,14.0,2023,204
1.0,11:36,2.0,5.0,BUF 30,0.0,0.0,Patrick Mahomes pass short left intended for Clyde Edwards-Helaire is intercepted by A.J. Epenesa at BUF-41 and returned for 6 yards (tackle by Patrick Mahomes),3.38,-2.06,14.0,2023,204
1.0,11:30,1.0,10.0,BUF 47,0.0,0.0,Josh Allen pass complete short right to James Cook for 12 yards (tackle by Mike Edwards),2.06,2.85,14.0,2023,204
