Quarter,Time,Down,ToGo,Location,LAR,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,,14.0,2023,201
1,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 71 yards, returned by Devin Duvernay for 21 yards (tackle by Jake Hummel)",0.0,-0.22,14.0,2023,201
1,14:54,1.0,10.0,BAL 15,0.0,0.0,Gus Edwards left tackle for 3 yards (tackle by Bobby Brown),-0.22,-0.28,14.0,2023,201
1,14:17,2.0,7.0,BAL 18,0.0,0.0,Lamar Jackson pass complete short left to Keaton Mitchell for 8 yards (tackle by John Johnson),-0.28,0.67,14.0,2023,201
1,13:40,1.0,10.0,BAL 26,0.0,0.0,Lamar Jackson pass complete short right to Isaiah Likely for 7 yards (tackle by Michael Hoecht),0.67,1.07,14.0,2023,201
1,13:04,2.0,3.0,BAL 33,0.0,0.0,Keaton Mitchell right end for 1 yard (tackle by Byron Young and Jonah Williams),1.07,0.5,14.0,2023,201
1,12:28,3.0,2.0,BAL 34,0.0,0.0,Gus Edwards up the middle for 1 yard (tackle by Michael Hoecht and Ernest Jones),0.5,-1.04,14.0,2023,201
1,11:47,4.0,1.0,BAL 35,0.0,0.0,"Jordan Stout punts 45 yards, returned by Austin Trammell for 4 yards (tackle by Del'Shawn Phillips)",-1.04,-0.54,14.0,2023,201
1,11:36,1.0,10.0,LAR 24,0.0,0.0,Kyren Williams left guard for 5 yards (tackle by Marlon Humphrey),0.54,0.67,14.0,2023,201
1,11:04,2.0,5.0,LAR 29,0.0,0.0,Kyren Williams right guard for 10 yards (tackle by Roquan Smith),0.67,1.53,14.0,2023,201
1,10:25,1.0,10.0,LAR 39,0.0,0.0,Kyren Williams right guard for 4 yards (tackle by Jadeveon Clowney and Patrick Queen),1.53,1.53,14.0,2023,201
1,9:42,2.0,6.0,LAR 43,0.0,0.0,Kyren Williams right tackle for 9 yards (tackle by Brandon Stephens),1.53,2.39,14.0,2023,201
1,9:00,1.0,10.0,BAL 48,0.0,0.0,Royce Freeman left guard for 3 yards (tackle by Justin Madubuike),2.39,2.25,14.0,2023,201
1,8:17,2.0,7.0,BAL 45,0.0,0.0,Puka Nacua right end for 6 yards (tackle by Geno Stone),2.25,2.34,14.0,2023,201
1,7:49,3.0,1.0,BAL 39,0.0,0.0,Kyren Williams up the middle for 2 yards (tackle by Kyle Van Noy and Geno Stone),2.34,3.12,14.0,2023,201
1,7:02,1.0,10.0,BAL 37,0.0,0.0,"Kyren Williams right end for 2 yards (tackle by Tavius Robinson and Roquan Smith). Penalty on Tavius Robinson: Face Mask (15 Yards), 15 yards (accepted)",3.12,4.24,14.0,2023,201
1,6:38,1.0,10.0,BAL 20,0.0,0.0,Kyren Williams up the middle for 11 yards (tackle by Marlon Humphrey and Kyle Hamilton),4.24,5.14,14.0,2023,201
1,5:51,1.0,9.0,BAL 9,0.0,0.0,Matthew Stafford pass incomplete short left intended for Demarcus Robinson,5.14,4.38,14.0,2023,201
1,5:47,2.0,9.0,BAL 9,0.0,0.0,Matthew Stafford pass incomplete short right intended for Puka Nacua,4.38,3.36,14.0,2023,201
