Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Panthers to receive the opening kickoff.",,,14.0,2023,196
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 63 yards, returned by Raheem Blackshear for 13 yards (tackle by J.T. Gray)",0.0,-0.22,14.0,2023,196
1.0,14:57,1.0,10.0,CAR 15,0.0,0.0,Chuba Hubbard left guard for 3 yards (tackle by Carl Granderson and Khalen Saunders),-0.22,-0.28,14.0,2023,196
1.0,14:22,2.0,7.0,CAR 18,0.0,0.0,Bryce Young pass incomplete deep left intended for Jonathan Mingo,-0.28,-1.0,14.0,2023,196
1.0,14:16,3.0,7.0,CAR 18,0.0,0.0,Bryce Young pass incomplete deep left intended for Stephen Sullivan,-1.0,-2.24,14.0,2023,196
1.0,14:11,4.0,7.0,CAR 18,0.0,0.0,"Johnny Hekker punts 49 yards, returned by Lynn Bowden for 11 yards (tackle by Amare Barno)",-2.24,-1.86,14.0,2023,196
1.0,14:01,1.0,10.0,NOR 44,0.0,0.0,Alvin Kamara right tackle for 8 yards (tackle by Shy Tuttle and Jeremy Chinn),1.86,2.4,14.0,2023,196
1.0,13:22,2.0,2.0,CAR 48,0.0,0.0,Derek Carr pass complete short left to Juwan Johnson for 3 yards (tackle by Xavier Woods),2.4,2.59,14.0,2023,196
1.0,13:01,1.0,10.0,CAR 45,0.0,0.0,Derek Carr pass complete short right to Foster Moreau for 1 yard (tackle by Xavier Woods),2.59,2.18,14.0,2023,196
1.0,12:27,2.0,9.0,CAR 44,0.0,0.0,Alvin Kamara left guard for 8 yards (tackle by Jaycee Horn),2.18,2.54,14.0,2023,196
1.0,11:46,3.0,1.0,CAR 36,0.0,0.0,Derek Carr pass complete short right to Chris Olave for 8 yards (tackle by Xavier Woods),2.54,3.71,14.0,2023,196
1.0,11:16,1.0,10.0,CAR 28,0.0,0.0,Jamaal Williams right tackle for 6 yards (tackle by Derrick Brown),3.71,3.98,14.0,2023,196
1.0,10:37,2.0,4.0,CAR 22,0.0,0.0,Jamaal Williams right tackle for 11 yards (tackle by Vonn Bell and Jeremy Chinn),3.98,4.84,14.0,2023,196
1.0,9:56,1.0,10.0,CAR 11,0.0,0.0,Jamaal Williams right tackle for no gain (tackle by Jaycee Horn and Nick Thurman),4.84,4.14,14.0,2023,196
1.0,9:19,2.0,10.0,CAR 11,0.0,0.0,Derek Carr pass incomplete short right,4.14,3.13,14.0,2023,196
1.0,9:13,3.0,10.0,CAR 11,0.0,0.0,Derek Carr pass incomplete short right,3.13,2.7,14.0,2023,196
1.0,9:07,4.0,10.0,CAR 11,0.0,0.0,Blake Grupe 29 yard field goal no good,2.7,-0.28,14.0,2023,196
1.0,9:04,1.0,10.0,CAR 20,0.0,0.0,Chuba Hubbard right guard for 1 yard (tackle by Khalen Saunders),0.28,-0.13,14.0,2023,196
1.0,8:27,2.0,9.0,CAR 21,0.0,0.0,Chuba Hubbard right tackle for 8 yards (tackle by Nathan Shepherd),-0.13,0.23,14.0,2023,196
1.0,8:01,3.0,1.0,CAR 29,0.0,0.0,Chuba Hubbard right guard for 2 yards (tackle by Cameron Jordan),0.23,1.0,14.0,2023,196
1.0,7:19,1.0,10.0,CAR 31,0.0,0.0,Bryce Young pass complete short left to DJ Chark for 18 yards (tackle by Jordan Howden),1.0,2.19,14.0,2023,196
