Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Matthew Stafford,LAR,0,0,0,0,0,14.0,2023,201
Kyren Williams,LAR,4,3,-1,0,9,14.0,2023,201
Royce Freeman,LAR,0,0,0,0,0,14.0,2023,201
Puka Nacua,LAR,9,5,84,0,34,14.0,2023,201
Cooper Kupp,LAR,10,8,115,1,34,14.0,2023,201
Davis Allen,LAR,5,4,50,1,21,14.0,2023,201
Demarcus Robinson,LAR,10,3,46,1,22,14.0,2023,201
Tutu Atwell,LAR,1,0,0,0,0,14.0,2023,201
Lamar Jackson,BAL,0,0,0,0,0,14.0,2023,201
Keaton Mitchell,BAL,2,1,8,0,8,14.0,2023,201
Gus Edwards,BAL,0,0,0,0,0,14.0,2023,201
Odell Beckham Jr.,BAL,10,4,97,1,46,14.0,2023,201
Isaiah Likely,BAL,7,5,83,1,54,14.0,2023,201
Zay Flowers,BAL,10,6,60,1,21,14.0,2023,201
Nelson Agholor,BAL,5,5,32,0,12,14.0,2023,201
Rashod Bateman,BAL,4,2,24,0,14,14.0,2023,201
Justice Hill,BAL,2,1,12,0,12,14.0,2023,201
