Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,14.0,2023,206
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 70 yards, returned by KaVontae Turpin for 30 yards (tackle by Eli Ricks)",0.0,0.61,14.0,2023,206
1.0,14:53,1.0,10.0,DAL 25,0.0,0.0,Dak Prescott pass complete short left to Tony Pollard for 6 yards (tackle by Jordan Davis),0.61,0.87,14.0,2023,206
1.0,14:21,2.0,4.0,DAL 31,0.0,0.0,Dak Prescott pass complete short left to Tony Pollard for 3 yards (tackle by Jordan Davis),0.87,0.56,14.0,2023,206
1.0,13:43,3.0,1.0,DAL 34,0.0,0.0,KaVontae Turpin right end for 22 yards (tackle by Darius Slay),0.56,2.65,14.0,2023,206
1.0,13:09,1.0,10.0,PHI 44,0.0,0.0,Tony Pollard right guard for 11 yards (tackle by Reed Blankenship),2.65,3.38,14.0,2023,206
1.0,12:33,1.0,10.0,PHI 33,0.0,0.0,Rico Dowdle left tackle for 2 yards (tackle by Brandon Graham and Zach Cunningham),3.38,3.11,14.0,2023,206
1.0,12:00,2.0,8.0,PHI 31,0.0,0.0,Rico Dowdle left guard for 7 yards (tackle by Zach Cunningham),3.11,3.34,14.0,2023,206
1.0,11:26,3.0,1.0,PHI 24,0.0,0.0,Dak Prescott up the middle for 3 yards (tackle by Zach Cunningham),3.34,4.17,14.0,2023,206
1.0,10:58,1.0,10.0,PHI 21,0.0,0.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Darius Slay),4.17,3.63,14.0,2023,206
1.0,10:45,2.0,10.0,PHI 21,0.0,0.0,Dak Prescott pass complete short right to Tony Pollard for 8 yards (tackle by Kevin Byard),3.63,4.24,14.0,2023,206
1.0,10:09,3.0,2.0,PHI 13,0.0,6.0,"Dak Prescott pass complete short left to CeeDee Lamb for 13 yards, touchdown",4.24,7.0,14.0,2023,206
1.0,10:00,,,PHI 15,0.0,7.0,Brandon Aubrey kicks extra point good,0.0,0.0,14.0,2023,206
1.0,10:00,,,DAL 35,0.0,7.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,206
1.0,10:00,1.0,10.0,PHI 25,0.0,7.0,D'Andre Swift right guard for 4 yards (tackle by Jourdan Lewis and DeMarcus Lawrence),0.61,0.6,14.0,2023,206
1.0,9:27,2.0,6.0,PHI 29,0.0,7.0,Jalen Hurts left guard for 11 yards (tackle by Damone Clark),0.6,1.6,14.0,2023,206
1.0,8:49,1.0,10.0,PHI 40,0.0,7.0,"Jalen Hurts pass incomplete short left intended for Dallas Goedert. Penalty on Micah Parsons: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.6,1.93,14.0,2023,206
1.0,8:41,1.0,10.0,PHI 45,0.0,7.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,1.93,1.38,14.0,2023,206
1.0,8:35,2.0,10.0,PHI 45,0.0,7.0,Jalen Hurts pass complete short middle to Dallas Goedert for 10 yards (tackle by Donovan Wilson),1.38,2.59,14.0,2023,206
1.0,8:00,1.0,10.0,DAL 45,0.0,7.0,Boston Scott left guard for 4 yards (tackle by DaRon Bland and Damone Clark),2.59,2.58,14.0,2023,206
1.0,7:12,2.0,6.0,DAL 41,0.0,7.0,"Penalty on Lane Johnson: False Start, 5 yards (accepted) (no play)",2.58,1.91,14.0,2023,206
1.0,6:46,2.0,11.0,DAL 46,0.0,7.0,Jalen Hurts pass incomplete short middle intended for DeVonta Smith (defended by Damone Clark),1.91,1.22,14.0,2023,206
1.0,6:41,3.0,11.0,DAL 46,0.0,7.0,"Penalty on Jordan Mailata: False Start, 5 yards (accepted) (no play)",1.22,0.56,14.0,2023,206
1.0,6:41,3.0,16.0,PHI 49,0.0,7.0,Jalen Hurts pass complete deep middle to DeVonta Smith for 30 yards (tackle by Malik Hooker),0.56,4.17,14.0,2023,206
1.0,6:15,1.0,10.0,DAL 21,0.0,7.0,"Jalen Hurts pass complete short left to Dallas Goedert for no gain (tackle by Donovan Wilson). Penalty on A.J. Brown: Offensive Pass Interference, 10 yards (accepted) (no play)",4.17,3.51,14.0,2023,206
1.0,5:45,1.0,20.0,DAL 31,0.0,7.0,"Jalen Hurts left guard for 10 yards. Jalen Hurts fumbles (forced by Donovan Wilson), recovered by Donovan Wilson at DAL-21 (tackle by Donovan Wilson)",3.51,-0.34,14.0,2023,206
1.0,5:42,1.0,10.0,DAL 21,0.0,7.0,"Penalty on CeeDee Lamb: False Start, 5 yards (accepted) (no play)",0.34,-0.22,14.0,2023,206
1.0,5:42,1.0,15.0,DAL 16,0.0,7.0,Dak Prescott pass complete short middle to CeeDee Lamb for 6 yards (tackle by James Bradberry),-0.22,-0.07,14.0,2023,206
1.0,5:14,2.0,9.0,DAL 22,0.0,7.0,Dak Prescott pass incomplete deep left intended for Brandin Cooks (defended by Darius Slay),-0.07,-0.76,14.0,2023,206
1.0,5:06,3.0,9.0,DAL 22,0.0,7.0,Dak Prescott pass complete deep right to CeeDee Lamb for 26 yards (tackle by Bradley Roby),-0.76,2.13,14.0,2023,206
1.0,4:29,1.0,10.0,DAL 48,0.0,7.0,Rico Dowdle left tackle for 2 yards (tackle by Josh Sweat and Nicholas Morrow),2.13,1.85,14.0,2023,206
1.0,3:53,2.0,8.0,DAL 50,0.0,7.0,Tony Pollard left guard for 6 yards (tackle by Nicholas Morrow and Zach Cunningham),1.85,1.95,14.0,2023,206
1.0,3:25,3.0,2.0,PHI 44,0.0,7.0,Dak Prescott pass incomplete short left intended for Michael Gallup,1.95,0.33,14.0,2023,206
1.0,3:15,4.0,2.0,PHI 44,0.0,7.0,Tony Pollard left tackle for 4 yards (tackle by Josh Sweat and Darius Slay),0.33,2.92,14.0,2023,206
1.0,2:46,1.0,10.0,PHI 40,0.0,7.0,"Tony Pollard right guard for no gain (tackle by Kevin Byard). Penalty on Terence Steele: Offensive Holding, 10 yards (accepted) (no play)",2.92,2.26,14.0,2023,206
1.0,2:26,1.0,20.0,PHI 50,0.0,7.0,Dak Prescott pass incomplete short right intended for Jalen Tolbert (defended by Fletcher Cox),2.26,1.02,14.0,2023,206
1.0,2:18,2.0,20.0,PHI 50,0.0,7.0,Rico Dowdle left end for 3 yards (tackle by Reed Blankenship),1.02,0.76,14.0,2023,206
