Unnamed: 0,NWE,PIT,week,year,game_id
First Downs,14,18,14.0,2023,194
Rush-Yds-TDs,25-81-0,28-82-1,14.0,2023,194
Cmp-Att-Yd-TD-INT,19-28-240-3-1,22-36-190-1-1,14.0,2023,194
Sacked-Yards,2-18,2-8,14.0,2023,194
Net Pass Yards,222,182,14.0,2023,194
Total Yards,303,264,14.0,2023,194
Fumbles-Lost,0-0,1-0,14.0,2023,194
Turnovers,1,1,14.0,2023,194
Penalties-Yards,7-59,1-5,14.0,2023,194
Third Down Conv.,4-13,3-14,14.0,2023,194
Fourth Down Conv.,0-0,1-3,14.0,2023,194
Time of Possession,27:41,32:19,14.0,2023,194
