Unnamed: 0,JAX,CLE,week,year,game_id
First Downs,20,16,14.0,2023,199
Rush-Yds-TDs,20-58-1,28-82-1,14.0,2023,199
Cmp-Att-Yd-TD-INT,28-50-257-3-3,26-45-311-3-1,14.0,2023,199
Sacked-Yards,4-22,1-4,14.0,2023,199
Net Pass Yards,235,307,14.0,2023,199
Total Yards,293,389,14.0,2023,199
Fumbles-Lost,1-1,2-2,14.0,2023,199
Turnovers,4,3,14.0,2023,199
Penalties-Yards,7-40,8-75,14.0,2023,199
Third Down Conv.,7-17,4-18,14.0,2023,199
Fourth Down Conv.,0-1,3-3,14.0,2023,199
Time of Possession,28:11,31:49,14.0,2023,199
