Unnamed: 0,PHI,DAL,week,year,game_id
First Downs,17,24,14.0,2023,206
Rush-Yds-TDs,23-106-0,32-138-1,14.0,2023,206
Cmp-Att-Yd-TD-INT,19-28-225-0-0,24-39-271-2-0,14.0,2023,206
Sacked-Yards,1-7,3-15,14.0,2023,206
Net Pass Yards,218,256,14.0,2023,206
Total Yards,324,394,14.0,2023,206
Fumbles-Lost,3-3,1-1,14.0,2023,206
Turnovers,3,1,14.0,2023,206
Penalties-Yards,10-95,7-60,14.0,2023,206
Third Down Conv.,4-9,9-16,14.0,2023,206
Fourth Down Conv.,1-2,1-1,14.0,2023,206
Time of Possession,23:24,36:36,14.0,2023,206
