Quarter,Time,Tm,Detail,BUF,KAN,week,year,game_id
1.0,3:43,Bills,James Cook 25 yard pass from Josh Allen (Tyler Bass kick),7,0,14.0,2023,204
2.0,11:50,Bills,Josh Allen 6 yard rush (Tyler Bass kick),14,0,14.0,2023,204
,1:19,Chiefs,Jerick McKinnon 7 yard rush (Harrison Butker kick),14,7,14.0,2023,204
3.0,8:38,Bills,Tyler Bass 31 yard field goal,17,7,14.0,2023,204
,3:35,Chiefs,Rashee Rice 4 yard pass from Patrick Mahomes (Harrison Butker kick),17,14,14.0,2023,204
4.0,11:31,Chiefs,Harrison Butker 27 yard field goal,17,17,14.0,2023,204
,1:54,Bills,Tyler Bass 39 yard field goal,20,17,14.0,2023,204
