Quarter,Time,Down,ToGo,Location,HOU,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Texans to receive the opening kickoff.",,,14.0,2023,200
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,200
1.0,15:00,1.0,10.0,HOU 25,0.0,0.0,Devin Singletary right guard for 3 yards (tackle by Quinnen Williams),0.61,0.47,14.0,2023,200
1.0,14:29,2.0,7.0,HOU 28,0.0,0.0,C.J. Stroud pass complete short left to Nico Collins for 13 yards (tackle by Sauce Gardner),0.47,1.66,14.0,2023,200
1.0,13:54,1.0,10.0,HOU 41,0.0,0.0,C.J. Stroud pass complete short right to Robert Woods for -2 yards (tackle by Sauce Gardner),1.66,0.85,14.0,2023,200
1.0,13:14,2.0,12.0,HOU 39,0.0,0.0,C.J. Stroud pass complete short left to Xavier Hutchinson for 7 yards (tackle by C.J. Mosley),0.85,1.09,14.0,2023,200
1.0,12:29,3.0,5.0,HOU 46,0.0,0.0,C.J. Stroud pass incomplete short right,1.09,-0.32,14.0,2023,200
1.0,12:24,4.0,5.0,HOU 46,0.0,0.0,"Cameron Johnston punts 45 yards, fair catch by Xavier Gipson at NYJ-9",-0.32,0.38,14.0,2023,200
1.0,12:18,1.0,10.0,NYJ 9,0.0,0.0,Dalvin Cook up the middle for 1 yard (tackle by Maliek Collins and Christian Harris),-0.38,-0.71,14.0,2023,200
1.0,11:40,2.0,9.0,NYJ 10,0.0,0.0,Dalvin Cook left end for 1 yard (tackle by Blake Cashman and Steven Nelson),-0.71,-1.19,14.0,2023,200
1.0,10:58,3.0,8.0,NYJ 11,0.0,0.0,Zach Wilson pass complete short left to Garrett Wilson for 16 yards (tackle by Steven Nelson),-1.19,0.74,14.0,2023,200
1.0,10:21,1.0,10.0,NYJ 27,0.0,0.0,Zach Wilson pass complete short right to Garrett Wilson for 7 yards,0.74,1.14,14.0,2023,200
1.0,9:49,2.0,3.0,NYJ 34,0.0,0.0,Zach Wilson pass complete deep right to Tyler Conklin for 20 yards (tackle by Christian Harris),1.14,2.52,14.0,2023,200
1.0,9:06,1.0,10.0,HOU 46,0.0,0.0,Breece Hall left end for 13 yards (tackle by Jimmie Ward),2.52,3.38,14.0,2023,200
1.0,8:23,1.0,10.0,HOU 33,0.0,0.0,Breece Hall up the middle for no gain (tackle by Jalen Pitre and Christian Harris),3.38,2.84,14.0,2023,200
1.0,7:47,2.0,10.0,HOU 33,0.0,0.0,Zach Wilson pass complete short left to Breece Hall for 6 yards (tackle by Blake Cashman),2.84,2.94,14.0,2023,200
1.0,6:57,3.0,4.0,HOU 27,0.0,0.0,Zach Wilson sacked by Sheldon Rankins for -10 yards,2.94,0.79,14.0,2023,200
1.0,6:09,4.0,14.0,HOU 37,0.0,0.0,"Penalty on NYJ: Delay of Game, 5 yards (declined)",0.79,0.79,14.0,2023,200
1.0,5:56,4.0,14.0,HOU 37,0.0,0.0,"Thomas Morstead punts 37 yards, touchback.",0.79,-0.28,14.0,2023,200
1.0,5:48,1.0,10.0,HOU 20,0.0,0.0,"C.J. Stroud pass complete to Xavier Hutchinson for no gain (tackle by Tony Adams and Sauce Gardner). Penalty on Xavier Hutchinson: Offensive Pass Interference, 10 yards (accepted) (no play)",0.28,-0.76,14.0,2023,200
1.0,5:24,1.0,20.0,HOU 10,0.0,0.0,Devin Singletary up the middle for no gain (tackle by C.J. Mosley),-0.76,-1.51,14.0,2023,200
1.0,4:42,2.0,20.0,HOU 10,0.0,0.0,Devin Singletary right guard for 16 yards (tackle by Tony Adams and Michael Carter),-1.51,-0.16,14.0,2023,200
1.0,3:58,3.0,4.0,HOU 26,0.0,0.0,C.J. Stroud pass complete short left to Brevin Jordan for 6 yards (tackle by D.J. Reed),-0.16,1.07,14.0,2023,200
1.0,3:13,1.0,10.0,HOU 32,0.0,0.0,C.J. Stroud pass incomplete short left intended for Devin Singletary (defended by C.J. Mosley),1.07,0.53,14.0,2023,200
1.0,3:08,2.0,10.0,HOU 32,0.0,0.0,Devin Singletary left end for 4 yards (tackle by Solomon Thomas),0.53,0.37,14.0,2023,200
1.0,2:29,3.0,6.0,HOU 36,0.0,0.0,C.J. Stroud sacked by Bryce Huff for -14 yards,0.37,-1.9,14.0,2023,200
1.0,1:53,4.0,20.0,HOU 22,0.0,0.0,"Cameron Johnston punts 65 yards, returned by Xavier Gipson for 14 yards (tackle by Jake Hansen)",-1.9,-0.74,14.0,2023,200
1.0,1:43,1.0,10.0,NYJ 27,0.0,0.0,"Zach Wilson pass complete to Breece Hall for no gain (tackle by Derek Stingley and Christian Harris). Penalty on Mekhi Becton: Offensive Holding, 10 yards (accepted) (no play)",0.74,-0.17,14.0,2023,200
1.0,1:19,1.0,20.0,NYJ 17,0.0,0.0,Zach Wilson pass complete short right to Xavier Gipson for 3 yards (tackle by Derek Stingley),-0.17,-0.75,14.0,2023,200
1.0,0:42,2.0,17.0,NYJ 20,0.0,0.0,Zach Wilson pass complete short right to Breece Hall for 8 yards (tackle by Blake Cashman),-0.75,-0.36,14.0,2023,200
2.0,15:00,3.0,9.0,NYJ 28,0.0,0.0,"Zach Wilson pass incomplete short left intended for Garrett Wilson NYJ challenged the pass completion ruling, and the play was upheld.",-0.36,-1.5,14.0,2023,200
2.0,14:55,4.0,9.0,NYJ 28,0.0,0.0,"Thomas Morstead punts 61 yards, returned by Desmond King for 22 yards (tackle by Ashtyn Davis and Justin Hardee)",-1.5,-1.14,14.0,2023,200
2.0,14:42,1.0,10.0,HOU 33,0.0,0.0,C.J. Stroud sacked by. C.J. Stroud fumbles. C.J. Stroud fumbles out of bounds,1.14,-0.62,14.0,2023,200
2.0,14:21,2.0,19.0,HOU 24,0.0,0.0,C.J. Stroud pass complete short left to Dameon Pierce for -2 yards (tackle by Quincy Williams),-0.62,-1.55,14.0,2023,200
