Quarter,Time,Down,ToGo,Location,MIN,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Raiders to receive the opening kickoff.",,,14.0,2023,202
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 61 yards, returned by DeAndre Carter for 16 yards (tackle by C.J. Ham)",0.0,0.28,14.0,2023,202
1.0,14:54,1.0,10.0,LVR 20,0.0,0.0,Aidan O'Connell pass complete short left to Davante Adams for 4 yards (tackle by Ivan Pace),0.28,0.27,14.0,2023,202
1.0,14:18,2.0,6.0,LVR 24,0.0,0.0,Josh Jacobs up the middle for 2 yards (tackle by Ivan Pace),0.27,-0.16,14.0,2023,202
1.0,13:36,3.0,4.0,LVR 26,0.0,0.0,Aidan O'Connell pass complete short middle to Josh Jacobs for 9 yards (tackle by Mekhi Blackmon),-0.16,1.27,14.0,2023,202
1.0,12:48,1.0,10.0,LVR 35,0.0,0.0,Josh Jacobs left guard for 4 yards (tackle by Jonathan Bullard and Ivan Pace),1.27,1.26,14.0,2023,202
1.0,12:12,2.0,6.0,LVR 39,0.0,0.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 4 yards (tackle by Camryn Bynum),1.26,1.09,14.0,2023,202
1.0,11:29,3.0,2.0,LVR 43,0.0,0.0,Aidan O'Connell pass complete short left to Jakobi Meyers for 1 yard (tackle by Ivan Pace and Josh Metellus),1.09,-0.46,14.0,2023,202
1.0,10:42,4.0,1.0,LVR 44,0.0,0.0,Aidan O'Connell up the middle for 2 yards (tackle by Harrison Phillips),-0.46,1.99,14.0,2023,202
1.0,9:59,1.0,10.0,LVR 46,0.0,0.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 12 yards (tackle by Byron Murphy),1.99,2.79,14.0,2023,202
1.0,9:13,1.0,10.0,MIN 42,0.0,0.0,Aidan O'Connell pass incomplete deep left intended for Davante Adams,2.79,2.24,14.0,2023,202
1.0,9:09,2.0,10.0,MIN 42,0.0,0.0,"Josh Jacobs right tackle for 2 yards (tackle by Byron Murphy and Camryn Bynum). Penalty on Austin Hooper: Offensive Holding, 10 yards (accepted)",2.24,1.16,14.0,2023,202
1.0,8:45,2.0,18.0,LVR 50,0.0,0.0,Aidan O'Connell sacked by Troy Dye for -5 yards,1.16,-0.16,14.0,2023,202
1.0,8:08,3.0,23.0,LVR 45,0.0,0.0,Aidan O'Connell pass complete short middle to Davante Adams for 2 yards (tackle by Ivan Pace),-0.16,-0.26,14.0,2023,202
1.0,7:24,4.0,21.0,LVR 47,0.0,0.0,"AJ Cole punts 53 yards, touchback.",-0.26,-0.28,14.0,2023,202
1.0,7:15,1.0,10.0,MIN 20,0.0,0.0,Alexander Mattison right guard for 5 yards (tackle by Tre'von Moehrig),0.28,0.41,14.0,2023,202
1.0,6:42,2.0,5.0,MIN 25,0.0,0.0,Joshua Dobbs pass incomplete short right intended for Justin Jefferson (defended by Jack Jones),0.41,-0.3,14.0,2023,202
1.0,6:36,3.0,5.0,MIN 25,0.0,0.0,Joshua Dobbs sacked by Tyree Wilson for -8 yards,-0.3,-2.32,14.0,2023,202
1.0,5:58,4.0,13.0,MIN 17,0.0,0.0,"Ryan Wright punts 59 yards, returned by DeAndre Carter for 10 yards (tackle by Theo Jackson)",-2.32,-1.2,14.0,2023,202
1.0,5:49,1.0,10.0,LVR 34,0.0,0.0,Aidan O'Connell pass incomplete short right intended for Davante Adams,1.2,0.66,14.0,2023,202
1.0,5:46,2.0,10.0,LVR 34,0.0,0.0,Josh Jacobs right guard for 5 yards (tackle by Sheldon Day),0.66,0.63,14.0,2023,202
1.0,5:06,3.0,5.0,LVR 39,0.0,0.0,Aidan O'Connell pass complete short left to Jakobi Meyers for 4 yards (tackle by Akayleb Evans and Ivan Pace),0.63,-0.52,14.0,2023,202
1.0,4:27,4.0,1.0,LVR 43,0.0,0.0,Josh Jacobs up the middle for 3 yards (tackle by Camryn Bynum),-0.52,1.99,14.0,2023,202
1.0,3:50,1.0,10.0,LVR 46,0.0,0.0,"Aidan O'Connell pass incomplete short right. Penalty on Aidan O'Connell: Intentional Grounding, 12 yards (accepted)",1.99,-0.17,14.0,2023,202
1.0,3:41,2.0,22.0,LVR 34,0.0,0.0,Aidan O'Connell pass complete short right to Austin Hooper for 5 yards (tackle by Ivan Pace),-0.17,-0.16,14.0,2023,202
1.0,2:54,3.0,17.0,LVR 39,0.0,0.0,Aidan O'Connell pass complete short right to Davante Adams for 12 yards (tackle by Harrison Smith and Mekhi Blackmon),-0.16,0.0,14.0,2023,202
1.0,2:15,4.0,5.0,MIN 49,0.0,0.0,"AJ Cole punts 42 yards, returned by Brandon Powell for 7 yards (tackle by Curtis Bolton)",0.0,0.28,14.0,2023,202
