Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,,14.0,2023,197
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 62 yards, returned by Velus Jones for 28 yards (tackle by Kerby Joseph)",0.0,1.0,14.0,2023,197
1.0,14:54,1.0,10.0,CHI 31,0.0,0.0,Justin Fields left end for 1 yard (tackle by Jack Campbell),1.0,0.6,14.0,2023,197
1.0,14:20,2.0,9.0,CHI 32,0.0,0.0,Justin Fields pass complete short left to D'Onta Foreman for 6 yards (tackle by Jack Campbell),0.6,0.7,14.0,2023,197
1.0,13:40,3.0,3.0,CHI 38,0.0,0.0,Justin Fields scrambles left guard for 13 yards (tackle by Kerby Joseph),0.7,2.32,14.0,2023,197
1.0,13:01,1.0,10.0,DET 49,0.0,0.0,Justin Fields pass complete short left to Cole Kmet for 6 yards (tackle by Jerry Jacobs and Alex Anzalone),2.32,2.59,14.0,2023,197
1.0,12:26,2.0,4.0,DET 43,0.0,0.0,D'Onta Foreman right guard for 13 yards (tackle by Jerry Jacobs),2.59,3.58,14.0,2023,197
1.0,11:46,1.0,10.0,DET 30,0.0,0.0,Justin Fields right end for 11 yards (tackle by Cameron Sutton),3.58,4.31,14.0,2023,197
1.0,11:08,1.0,10.0,DET 19,0.0,0.0,Justin Fields scrambles right guard for 3 yards (tackle by Brian Branch),4.31,4.18,14.0,2023,197
1.0,10:22,2.0,7.0,DET 16,0.0,6.0,"D.J. Moore left end for 16 yards, touchdown",4.18,7.0,14.0,2023,197
1.0,10:17,,,DET 15,0.0,7.0,Cairo Santos kicks extra point good,0.0,0.0,14.0,2023,197
1.0,10:17,,,CHI 35,0.0,7.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,197
1.0,10:17,1.0,10.0,DET 25,0.0,7.0,David Montgomery left guard for 5 yards (tackle by Montez Sweat),0.61,0.74,14.0,2023,197
1.0,9:42,2.0,5.0,DET 30,0.0,7.0,David Montgomery right guard for 2 yards (tackle by Yannick Ngakoue and Justin Jones),0.74,0.3,14.0,2023,197
1.0,8:56,3.0,3.0,DET 32,0.0,7.0,Jared Goff pass complete short middle to Sam LaPorta for 13 yards (tackle by Tyrique Stevenson),0.3,1.93,14.0,2023,197
1.0,8:22,1.0,10.0,DET 45,0.0,7.0,Jared Goff pass complete short right to David Montgomery for 4 yards (tackle by Jaquan Brisker and T.J. Edwards),1.93,1.92,14.0,2023,197
1.0,7:44,2.0,6.0,DET 49,0.0,7.0,"Jared Goff pass incomplete short right intended for David Montgomery. Penalty on Graham Glasgow: Tripping / Offense, 15 yards (accepted) (no play)",1.92,-0.1,14.0,2023,197
1.0,7:38,2.0,21.0,DET 34,0.0,7.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 11 yards (tackle by T.J. Edwards),-0.1,0.7,14.0,2023,197
1.0,7:22,3.0,10.0,DET 45,0.0,7.0,Jared Goff sacked by Yannick Ngakoue for -8 yards,0.7,-0.91,14.0,2023,197
1.0,6:43,4.0,18.0,DET 37,0.0,7.0,"Jack Fox punts 55 yards, returned by Trent Taylor for 1 yard (tackle by Khalil Dorsey)",-0.91,0.38,14.0,2023,197
1.0,6:34,1.0,10.0,CHI 9,0.0,7.0,D'Onta Foreman left tackle for 2 yards (tackle by Derrick Barnes and John Cominsky),-0.38,-0.63,14.0,2023,197
1.0,5:53,2.0,8.0,CHI 11,0.0,7.0,Justin Fields pass incomplete short left intended for D'Onta Foreman,-0.63,-1.19,14.0,2023,197
1.0,5:46,3.0,8.0,CHI 11,0.0,7.0,Justin Fields scrambles right end for 19 yards (tackle by Kerby Joseph),-1.19,0.94,14.0,2023,197
1.0,5:04,1.0,10.0,CHI 30,0.0,7.0,D'Onta Foreman left guard for 5 yards (tackle by Jack Campbell),0.94,1.07,14.0,2023,197
1.0,4:38,2.0,5.0,CHI 35,0.0,7.0,D'Onta Foreman right tackle for 1 yard (tackle by Jack Campbell and Ifeatu Melifonwu),1.07,0.5,14.0,2023,197
1.0,3:54,3.0,4.0,CHI 36,0.0,7.0,"Justin Fields pass complete short left to Cole Kmet for no gain. Penalty on Alex Anzalone: Defensive Holding, 5 yards (accepted) (no play)",0.5,1.66,14.0,2023,197
1.0,3:25,1.0,10.0,CHI 41,0.0,7.0,"Justin Fields pass complete short right to Darnell Mooney for 28 yards (tackle by Alex Anzalone). Penalty on Alex Anzalone: Unnecessary Roughness / Defense, 15 yards (accepted)",1.66,4.51,14.0,2023,197
1.0,2:53,1.0,10.0,DET 16,0.0,7.0,D'Onta Foreman right tackle for 1 yard (tackle by Benito Jones and Aidan Hutchinson),4.51,4.05,14.0,2023,197
1.0,2:11,,,,,,Timeout #1 by Chicago Bears,,,14.0,2023,197
1.0,2:11,2.0,9.0,DET 15,0.0,7.0,Justin Fields pass incomplete short right,4.05,3.22,14.0,2023,197
1.0,2:06,3.0,9.0,DET 15,0.0,7.0,Justin Fields sacked by Jalen Reeves-Maybin for -13 yards,3.22,1.59,14.0,2023,197
1.0,1:27,4.0,22.0,DET 28,0.0,10.0,Cairo Santos 46 yard field goal good,1.59,3.0,14.0,2023,197
1.0,1:22,,,CHI 35,0.0,10.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,197
1.0,1:22,1.0,10.0,DET 25,0.0,10.0,Jahmyr Gibbs left tackle for 4 yards (tackle by DeMarcus Walker and Jaquan Brisker),0.61,0.6,14.0,2023,197
1.0,0:45,2.0,6.0,DET 29,0.0,10.0,Jahmyr Gibbs right tackle for 36 yards (tackle by Eddie Jackson),0.6,3.25,14.0,2023,197
1.0,0:01,1.0,10.0,CHI 35,0.0,10.0,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",3.25,2.92,14.0,2023,197
2.0,15:00,1.0,15.0,CHI 40,0.0,10.0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by T.J. Edwards),2.92,2.03,14.0,2023,197
2.0,14:55,2.0,15.0,CHI 40,0.0,10.0,Jared Goff pass complete short left to Kalif Raymond for 5 yards (tackle by Jaquan Brisker),2.03,2.01,14.0,2023,197
2.0,14:15,3.0,10.0,CHI 35,0.0,10.0,Jared Goff pass incomplete short right intended for Jahmyr Gibbs,2.01,0.97,14.0,2023,197
2.0,14:12,4.0,10.0,CHI 35,0.0,10.0,"Jared Goff pass deep right intended for Sam LaPorta is intercepted by Jaylon Johnson at CHI-15 and returned for 7 yards. Jaylon Johnson fumbles, ball out of bounds at CHI-22 (forced by Amon-Ra St. Brown). Penalty on Eddie Jackson: Personal Foul / Defense, 10 yards (accepted) . Jaylon Johnson fumbles out of bounds",0.97,0.35,14.0,2023,197
2.0,14:00,1.0,10.0,CHI 12,0.0,10.0,Justin Fields pass complete deep left to Cole Kmet for 41 yards (tackle by Kerby Joseph),-0.35,2.46,14.0,2023,197
2.0,13:23,1.0,10.0,DET 47,0.0,10.0,Khalil Herbert left end for 4 yards (tackle by John Cominsky and Benito Jones),2.46,2.45,14.0,2023,197
2.0,12:49,2.0,6.0,DET 43,0.0,10.0,D'Onta Foreman left tackle for 3 yards (tackle by John Cominsky),2.45,2.15,14.0,2023,197
2.0,12:10,3.0,3.0,DET 40,0.0,10.0,Justin Fields left guard for 2 yards (tackle by Alex Anzalone and Benito Jones),2.15,0.72,14.0,2023,197
2.0,11:43,4.0,1.0,DET 38,0.0,10.0,D.J. Moore left end for no gain (tackle by Ifeatu Melifonwu and Josh Paschal),0.72,-1.53,14.0,2023,197
2.0,11:39,1.0,10.0,DET 39,0.0,10.0,David Montgomery left guard for 3 yards (tackle by Justin Jones and Jaquan Brisker),1.53,1.39,14.0,2023,197
2.0,11:05,2.0,7.0,DET 42,0.0,10.0,David Montgomery left tackle for 13 yards (tackle by Terell Smith),1.39,2.59,14.0,2023,197
2.0,10:22,1.0,10.0,CHI 45,0.0,10.0,David Montgomery left tackle for 7 yards (tackle by T.J. Edwards),2.59,2.99,14.0,2023,197
2.0,9:49,2.0,3.0,CHI 38,0.0,10.0,Jared Goff pass incomplete short left,2.99,2.28,14.0,2023,197
2.0,9:43,3.0,3.0,CHI 38,0.0,10.0,"Penalty on Jonah Jackson: False Start, 5 yards (accepted) (no play)",2.28,1.62,14.0,2023,197
2.0,9:43,3.0,8.0,CHI 43,0.0,10.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 5 yards (tackle by Jaquan Brisker and Tremaine Edmunds),1.62,0.72,14.0,2023,197
2.0,9:01,4.0,3.0,CHI 38,0.0,10.0,Jared Goff pass complete short middle to Donovan Peoples-Jones for 17 yards (tackle by Terell Smith),0.72,4.17,14.0,2023,197
2.0,8:12,1.0,10.0,CHI 21,0.0,10.0,Jameson Williams left end for 4 yards (tackle by Tremaine Edmunds),4.17,4.2,14.0,2023,197
2.0,7:30,2.0,6.0,CHI 17,0.0,10.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 5 yards (tackle by Terell Smith and Jaquan Brisker),4.2,4.49,14.0,2023,197
2.0,7:04,3.0,1.0,CHI 12,6.0,10.0,"Jahmyr Gibbs right end for 12 yards, touchdown",4.49,7.0,14.0,2023,197
2.0,6:59,,,CHI 15,6.0,10.0,Riley Patterson kicks extra point no good,0.0,-1.0,14.0,2023,197
2.0,6:59,,,DET 35,6.0,10.0,"Jack Fox kicks off 65 yards, returned by Velus Jones for 23 yards (tackle by Derrick Barnes and Tracy Walker)",0.0,0.48,14.0,2023,197
2.0,6:54,1.0,10.0,CHI 23,6.0,10.0,Justin Fields left end for 1 yard (tackle by John Cominsky),0.48,0.07,14.0,2023,197
2.0,6:14,2.0,9.0,CHI 24,6.0,10.0,Justin Fields sacked by Aidan Hutchinson for -9 yards,0.07,-2.15,14.0,2023,197
2.0,5:27,3.0,18.0,CHI 15,6.0,10.0,Justin Fields pass incomplete short right intended for Darnell Mooney (defended by Aidan Hutchinson),-2.15,-2.44,14.0,2023,197
