Quarter,Time,Tm,Detail,CAR,NOR,week,year,game_id
2.0,14:55,Saints,Alvin Kamara 9 yard rush (Blake Grupe kick),0,7,14.0,2023,196
,9:16,Panthers,Eddy Piñeiro 47 yard field goal,3,7,14.0,2023,196
,4:37,Saints,D'Marco Jackson 8 yard fumble return (Blake Grupe kick),3,14,14.0,2023,196
3.0,4:57,Panthers,Eddy Piñeiro 29 yard field goal,6,14,14.0,2023,196
4.0,5:59,Saints,Chris Olave 7 yard pass from Derek Carr (Blake Grupe kick),6,21,14.0,2023,196
,4:29,Saints,Jimmy Graham 4 yard pass from Derek Carr (Blake Grupe kick),6,28,14.0,2023,196
