Unnamed: 0,DEN,LAC,week,year,game_id
First Downs,19,17,14.0,2023,205
Rush-Yds-TDs,31-106-1,19-76-1,14.0,2023,205
Cmp-Att-Yd-TD-INT,21-33-224-2-1,22-42-275-0-1,14.0,2023,205
Sacked-Yards,2-8,6-68,14.0,2023,205
Net Pass Yards,216,207,14.0,2023,205
Total Yards,322,283,14.0,2023,205
Fumbles-Lost,0-0,2-1,14.0,2023,205
Turnovers,1,2,14.0,2023,205
Penalties-Yards,4-26,2-10,14.0,2023,205
Third Down Conv.,8-17,0-12,14.0,2023,205
Fourth Down Conv.,0-0,1-6,14.0,2023,205
Time of Possession,33:29,26:31,14.0,2023,205
