Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,14.0,2023,195
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,195
1.0,15:00,1.0,10.0,TAM 25,0.0,0.0,Rachaad White left guard for 6 yards (tackle by Albert Huggins),0.61,0.87,14.0,2023,195
1.0,14:26,2.0,4.0,TAM 31,0.0,0.0,Baker Mayfield pass complete short middle to Chris Godwin for 6 yards (tackle by Richie Grant),0.87,1.4,14.0,2023,195
1.0,13:54,1.0,10.0,TAM 37,0.0,0.0,Rachaad White left tackle for 2 yards (tackle by Albert Huggins and Andre Smith),1.4,1.13,14.0,2023,195
1.0,13:15,2.0,8.0,TAM 39,0.0,0.0,Baker Mayfield pass complete short right to Cade Otton for 5 yards (tackle by Kaden Elliss),1.13,1.09,14.0,2023,195
1.0,12:30,3.0,3.0,TAM 44,0.0,0.0,Baker Mayfield pass complete short left to David Moore for 11 yards (tackle by Clark Phillips and Jessie Bates),1.09,2.59,14.0,2023,195
1.0,11:45,1.0,10.0,ATL 45,0.0,0.0,Rachaad White left end for 1 yard (tackle by Kaden Elliss),2.59,2.18,14.0,2023,195
1.0,11:06,2.0,9.0,ATL 44,0.0,0.0,Baker Mayfield pass complete short left to Trey Palmer for 5 yards (tackle by AJ Terrell),2.18,2.15,14.0,2023,195
1.0,10:17,3.0,4.0,ATL 39,0.0,0.0,Baker Mayfield scrambles left tackle for 2 yards (tackle by Richie Grant),2.15,0.79,14.0,2023,195
1.0,9:32,4.0,2.0,ATL 37,3.0,0.0,Chase McLaughlin 55 yard field goal good,0.79,3.0,14.0,2023,195
1.0,9:27,,,TAM 35,3.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,195
1.0,9:27,1.0,10.0,ATL 25,3.0,0.0,Desmond Ridder pass complete short right to Bijan Robinson for 4 yards (tackle by Ryan Neal and YaYa Diaby),0.61,0.6,14.0,2023,195
1.0,9:00,2.0,6.0,ATL 29,3.0,0.0,Desmond Ridder pass complete short right to Bijan Robinson for 11 yards (tackle by Ryan Neal),0.6,1.6,14.0,2023,195
1.0,8:35,1.0,10.0,ATL 40,3.0,0.0,Desmond Ridder pass complete short left to Jonnu Smith for 2 yards (tackle by Ryan Neal and Zyon McCollum),1.6,1.32,14.0,2023,195
1.0,8:07,2.0,8.0,ATL 42,3.0,0.0,Desmond Ridder sacked by Greg Gaines for no gain,1.32,0.63,14.0,2023,195
1.0,7:38,3.0,8.0,ATL 42,3.0,0.0,Desmond Ridder pass complete deep right to Drake London for 26 yards (tackle by Carlton Davis),0.63,3.45,14.0,2023,195
1.0,7:11,1.0,10.0,TAM 32,3.0,0.0,Tyler Allgeier right tackle for 3 yards (tackle by Joe Tryon-Shoyinka),3.45,3.31,14.0,2023,195
1.0,6:39,2.0,7.0,TAM 29,3.0,0.0,Tyler Allgeier left tackle for 2 yards (tackle by K.J. Britt),3.31,2.87,14.0,2023,195
1.0,6:00,3.0,5.0,TAM 27,3.0,0.0,Desmond Ridder scrambles right end for 7 yards (tackle by Joe Tryon-Shoyinka),2.87,4.24,14.0,2023,195
1.0,5:23,1.0,10.0,TAM 20,3.0,0.0,Cordarrelle Patterson right tackle for 1 yard (tackle by Anthony Nelson and Antoine Winfield),4.24,3.82,14.0,2023,195
1.0,4:55,2.0,9.0,TAM 19,3.0,0.0,Desmond Ridder scrambles left end for 6 yards (tackle by Anthony Nelson),3.82,4.1,14.0,2023,195
1.0,4:16,3.0,3.0,TAM 13,3.0,0.0,Desmond Ridder pass complete short left to Drake London for 2 yards (tackle by Zyon McCollum),4.1,2.85,14.0,2023,195
1.0,3:18,4.0,1.0,TAM 11,3.0,0.0,Desmond Ridder pass complete short right to Kyle Pitts for 2 yards (tackle by Antoine Winfield),2.85,5.14,14.0,2023,195
1.0,2:43,1.0,9.0,TAM 9,3.0,0.0,Bijan Robinson right tackle for 4 yards (tackle by Lavonte David),5.14,5.15,14.0,2023,195
1.0,2:07,2.0,5.0,TAM 5,3.0,0.0,Desmond Ridder pass complete short middle to Bijan Robinson for 3 yards (tackle by K.J. Britt),5.15,4.95,14.0,2023,195
1.0,1:29,3.0,2.0,TAM 2,3.0,0.0,Desmond Ridder pass incomplete short right intended for Bijan Robinson,4.95,3.25,14.0,2023,195
1.0,1:26,4.0,2.0,TAM 2,3.0,3.0,Younghoe Koo 20 yard field goal good,3.25,3.0,14.0,2023,195
1.0,1:23,,,ATL 35,3.0,3.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,195
1.0,1:23,1.0,10.0,TAM 25,3.0,3.0,Baker Mayfield pass incomplete short left intended for Mike Evans (defended by AJ Terrell),0.61,0.06,14.0,2023,195
1.0,1:19,2.0,10.0,TAM 25,3.0,3.0,Rachaad White right guard for 2 yards (tackle by Lorenzo Carter),0.06,-0.36,14.0,2023,195
