Quarter,Time,Tm,Detail,HOU,NYJ,week,year,game_id
3.0,11:05,Jets,Randall Cobb 15 yard pass from Zach Wilson (Greg Zuerlein kick),0,7,14.0,2023,200
,4:31,Jets,Xavier Gipson 9 yard rush (Greg Zuerlein kick),0,14,14.0,2023,200
,0:00,Texans,Devin Singletary 1 yard rush (Matt Ammendola kick failed),6,14,14.0,2023,200
4.0,9:27,Jets,Breece Hall 3 yard pass from Zach Wilson (Greg Zuerlein kick),6,21,14.0,2023,200
,6:51,Jets,Greg Zuerlein 51 yard field goal,6,24,14.0,2023,200
,4:30,Jets,Greg Zuerlein 55 yard field goal,6,27,14.0,2023,200
,1:08,Jets,Greg Zuerlein 44 yard field goal,6,30,14.0,2023,200
