Unnamed: 0,DET,CHI,week,year,game_id
First Downs,13,20,14.0,2023,197
Rush-Yds-TDs,24-140-1,30-142-2,14.0,2023,197
Cmp-Att-Yd-TD-INT,20-35-161-1-2,19-33-223-1-0,14.0,2023,197
Sacked-Yards,4-34,3-29,14.0,2023,197
Net Pass Yards,127,194,14.0,2023,197
Total Yards,267,336,14.0,2023,197
Fumbles-Lost,2-1,1-0,14.0,2023,197
Turnovers,3,0,14.0,2023,197
Penalties-Yards,8-59,4-35,14.0,2023,197
Third Down Conv.,6-15,6-14,14.0,2023,197
Fourth Down Conv.,1-5,1-2,14.0,2023,197
Time of Possession,26:41,33:19,14.0,2023,197
