Unnamed: 0,IND,CIN,week,year,game_id
First Downs,19,19,14.0,2023,198
Rush-Yds-TDs,18-46-0,32-111-2,14.0,2023,198
Cmp-Att-Yd-TD-INT,26-39-240-1-1,19-25-274-2-1,14.0,2023,198
Sacked-Yards,3-14,0-0,14.0,2023,198
Net Pass Yards,226,274,14.0,2023,198
Total Yards,272,385,14.0,2023,198
Fumbles-Lost,1-1,0-0,14.0,2023,198
Turnovers,2,1,14.0,2023,198
Penalties-Yards,9-66,5-40,14.0,2023,198
Third Down Conv.,3-11,3-11,14.0,2023,198
Fourth Down Conv.,1-2,1-1,14.0,2023,198
Time of Possession,28:08,31:52,14.0,2023,198
