Quarter,Time,Tm,Detail,DEN,LAC,week,year,game_id
1.0,4:55,Broncos,Javonte Williams 3 yard rush (Wil Lutz kick),7,0,14.0,2023,205
2.0,0:05,Broncos,Wil Lutz 23 yard field goal,10,0,14.0,2023,205
3.0,5:55,Broncos,Courtland Sutton 46 yard pass from Russell Wilson (Wil Lutz kick),17,0,14.0,2023,205
4.0,10:37,Chargers,Austin Ekeler 3 yard rush (Cameron Dicker kick),17,7,14.0,2023,205
,3:11,Broncos,Adam Trautman 10 yard pass from Russell Wilson (Wil Lutz kick),24,7,14.0,2023,205
