Quarter,Time,Down,ToGo,Location,JAX,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Browns to receive the opening kickoff.",,,14.0,2023,199
1.0,15:00,,,JAX 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,199
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Jerome Ford right guard for 8 yards (tackle by Devin Lloyd),0.61,1.14,14.0,2023,199
1.0,14:27,2.0,2.0,CLE 33,0.0,0.0,Joe Flacco pass complete short left to Jerome Ford for 10 yards (tackle by Foyesade Oluokun),1.14,1.8,14.0,2023,199
1.0,13:49,1.0,10.0,CLE 43,0.0,0.0,Joe Flacco pass complete short left to Cedric Tillman for 14 yards (tackle by Montaric Brown),1.8,2.72,14.0,2023,199
1.0,13:13,1.0,10.0,JAX 43,0.0,0.0,Jerome Ford right tackle for 1 yard (tackle by Roy Robertson-Harris),2.72,2.31,14.0,2023,199
1.0,12:31,2.0,9.0,JAX 42,0.0,0.0,Joe Flacco pass complete short left to Jerome Ford for 8 yards (tackle by Gregory Junior),2.31,2.68,14.0,2023,199
1.0,11:45,3.0,1.0,JAX 34,0.0,6.0,"Joe Flacco pass complete deep left to David Njoku for 34 yards, touchdown",2.68,7.0,14.0,2023,199
1.0,11:39,,,JAX 15,0.0,7.0,Dustin Hopkins kicks extra point good,0.0,0.0,14.0,2023,199
1.0,11:39,,,CLE 35,0.0,7.0,"Dustin Hopkins kicks off 63 yards, returned by D'Ernest Johnson for 14 yards (tackle by Matthew Adams)",0.0,-0.14,14.0,2023,199
1.0,11:35,1.0,10.0,JAX 16,0.0,7.0,Travis Etienne left guard for -1 yards (tackle by Jeremiah Owusu-Koramoah),-0.14,-0.78,14.0,2023,199
1.0,10:59,2.0,11.0,JAX 15,0.0,7.0,Trevor Lawrence pass complete short right to Evan Engram for 9 yards (tackle by Anthony Walker),-0.78,-0.32,14.0,2023,199
1.0,10:15,3.0,2.0,JAX 24,0.0,7.0,Trevor Lawrence sacked by Za'Darius Smith for -1 yards,-0.32,-1.83,14.0,2023,199
1.0,9:27,4.0,3.0,JAX 23,0.0,7.0,"Logan Cooke punts 57 yards, returned by James Proche for 11 yards (tackle by Ross Matiscik)",-1.83,-1.0,14.0,2023,199
1.0,9:18,1.0,10.0,CLE 31,0.0,7.0,Joe Flacco pass incomplete short right intended for Cedric Tillman,1.0,0.46,14.0,2023,199
1.0,9:13,2.0,10.0,CLE 31,0.0,7.0,Kareem Hunt right tackle for 3 yards (tackle by Travon Walker and Gregory Junior),0.46,0.17,14.0,2023,199
1.0,8:44,3.0,7.0,CLE 34,0.0,7.0,Joe Flacco pass complete short left to David Njoku for -1 yards (tackle by Josh Allen and Devin Lloyd),0.17,-1.18,14.0,2023,199
1.0,7:58,4.0,8.0,CLE 33,0.0,7.0,"Corey Bojorquez punts 57 yards, returned by Parker Washington for 6 yards (tackle by Grant Delpit)",-1.18,0.14,14.0,2023,199
1.0,7:48,1.0,10.0,JAX 16,0.0,7.0,"Trevor Lawrence pass complete short left to Calvin Ridley for 16 yards (tackle by Maurice Hurst). Penalty on Jeremiah Owusu-Koramoah: Defensive Offside, 5 yards (declined)",-0.14,1.07,14.0,2023,199
1.0,7:30,1.0,10.0,JAX 32,0.0,7.0,Travis Etienne right tackle for 7 yards (tackle by Ronnie Hickman),1.07,1.47,14.0,2023,199
1.0,7:01,2.0,3.0,JAX 39,0.0,7.0,Travis Etienne left tackle for 16 yards (tackle by Tony Fields),1.47,2.59,14.0,2023,199
