Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Jordan Love,GNB,0,0,0,0,0,14.0,2023,207
AJ Dillon,GNB,3,2,25,0,35,14.0,2023,207
Jayden Reed,GNB,10,8,27,0,8,14.0,2023,207
Patrick Taylor,GNB,2,2,22,0,16,14.0,2023,207
Tucker Kraft,GNB,4,4,64,0,43,14.0,2023,207
Romeo Doubs,GNB,7,4,32,0,14,14.0,2023,207
Samori Toure,GNB,4,2,22,0,16,14.0,2023,207
Dontayvion Wicks,GNB,6,2,20,0,19,14.0,2023,207
Malik Heath,GNB,2,1,6,1,6,14.0,2023,207
Tommy DeVito,NYG,0,0,0,0,0,14.0,2023,207
Saquon Barkley,NYG,4,3,15,0,7,14.0,2023,207
Wan'Dale Robinson,NYG,7,6,79,0,32,14.0,2023,207
Matt Breida,NYG,0,0,0,0,0,14.0,2023,207
Isaiah Hodgins,NYG,2,2,22,1,14,14.0,2023,207
Daniel Bellinger,NYG,2,2,15,0,9,14.0,2023,207
Darius Slayton,NYG,2,2,14,0,9,14.0,2023,207
Jalin Hyatt,NYG,3,2,13,0,8,14.0,2023,207
