Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Nick Saldiveri,G,60,100%,0,0%,5,20%,1,Saints,11.0,2024,155
Cesar Ruiz,C,60,100%,0,0%,5,20%,1,Saints,11.0,2024,155
Trevor Penning,T,60,100%,0,0%,5,20%,1,Saints,11.0,2024,155
Taliese Fuaga,T,60,100%,0,0%,5,20%,1,Saints,11.0,2024,155
Derek Carr,QB,56,93%,0,0%,0,0%,1,Saints,11.0,2024,155
Foster Moreau,TE,51,85%,0,0%,4,16%,1,Saints,11.0,2024,155
Alvin Kamara,RB,44,73%,0,0%,0,0%,1,Saints,11.0,2024,155
Kevin Austin,WR,41,68%,0,0%,4,16%,1,Saints,11.0,2024,155
Erik McCoy,C,41,68%,0,0%,2,8%,1,Saints,11.0,2024,155
Marquez Valdes-Scantling,WR,39,65%,0,0%,0,0%,1,Saints,11.0,2024,155
Juwan Johnson,TE,34,57%,0,0%,4,16%,1,Saints,11.0,2024,155
Taysom Hill,TE,33,55%,0,0%,11,44%,1,Saints,11.0,2024,155
Adam Prentice,FB,20,33%,0,0%,7,28%,1,Saints,11.0,2024,155
Shane Lemieux,G,19,32%,0,0%,5,20%,1,Saints,11.0,2024,155
Jordan Mims,RB,11,18%,0,0%,4,16%,1,Saints,11.0,2024,155
Cedrick Wilson Jr.,WR,10,17%,0,0%,6,24%,1,Saints,11.0,2024,155
Dallin Holker,TE,8,13%,0,0%,3,12%,1,Saints,11.0,2024,155
Dante Pettis,WR,7,12%,0,0%,5,20%,1,Saints,11.0,2024,155
Oli Udoh,T,4,7%,0,0%,0,0%,1,Saints,11.0,2024,155
Jake Haener,QB,2,3%,0,0%,0,0%,1,Saints,11.0,2024,155
Will Harris,FS,0,0%,73,100%,3,12%,1,Saints,11.0,2024,155
Tyrann Mathieu,FS,0,0%,73,100%,0,0%,1,Saints,11.0,2024,155
Demario Davis,LB,0,0%,73,100%,0,0%,1,Saints,11.0,2024,155
Alontae Taylor,CB,0,0%,72,99%,3,12%,1,Saints,11.0,2024,155
Kool-Aid McKinstry,CB,0,0%,72,99%,0,0%,1,Saints,11.0,2024,155
Ugo Amadi,FS,0,0%,66,90%,6,24%,1,Saints,11.0,2024,155
Carl Granderson,DE,0,0%,53,73%,3,12%,1,Saints,11.0,2024,155
Cameron Jordan,DE,0,0%,49,67%,0,0%,1,Saints,11.0,2024,155
Pete Werner,LB,0,0%,48,66%,0,0%,1,Saints,11.0,2024,155
Chase Young,DE,0,0%,45,62%,0,0%,1,Saints,11.0,2024,155
Bryan Bresee,DT,0,0%,38,52%,3,12%,1,Saints,11.0,2024,155
Khalen Saunders,DT,0,0%,33,45%,0,0%,1,Saints,11.0,2024,155
Nathan Shepherd,DT,0,0%,30,41%,3,12%,1,Saints,11.0,2024,155
Jordan Howden,SS,0,0%,29,40%,14,56%,1,Saints,11.0,2024,155
Payton Turner,DE,0,0%,24,33%,11,44%,1,Saints,11.0,2024,155
John Ridgeway,DT,0,0%,15,21%,3,12%,1,Saints,11.0,2024,155
Willie Gay Jr.,LB,0,0%,6,8%,0,0%,1,Saints,11.0,2024,155
Isaiah Foskey,DE,0,0%,3,4%,20,80%,1,Saints,11.0,2024,155
Anfernee Orji,LB,0,0%,1,1%,20,80%,1,Saints,11.0,2024,155
J.T. Gray,SS,0,0%,0,0%,20,80%,1,Saints,11.0,2024,155
D'Marco Jackson,LB,0,0%,0,0%,17,68%,1,Saints,11.0,2024,155
Rico Payton,CB,0,0%,0,0%,16,64%,1,Saints,11.0,2024,155
Nephi Sewell,LB,0,0%,0,0%,15,60%,1,Saints,11.0,2024,155
Blake Grupe,K,0,0%,0,0%,11,44%,1,Saints,11.0,2024,155
Shemar Jean-Charles,CB,0,0%,0,0%,11,44%,1,Saints,11.0,2024,155
Zach Wood,LS,0,0%,0,0%,8,32%,1,Saints,11.0,2024,155
Matthew Hayball,P,0,0%,0,0%,8,32%,1,Saints,11.0,2024,155
Landon Young,T,0,0%,0,0%,5,20%,1,Saints,11.0,2024,155
