Unnamed: 0,LAR,NWE,week,year,game_id
First Downs,19,26,11.0,2024,161
Rush-Yds-TDs,24-107-0,30-125-0,11.0,2024,161
Cmp-Att-Yd-TD-INT,18-27-295-4-0,29-39-282-2-1,11.0,2024,161
Sacked-Yards,0-0,3-25,11.0,2024,161
Net Pass Yards,295,257,11.0,2024,161
Total Yards,402,382,11.0,2024,161
Fumbles-Lost,0-0,2-1,11.0,2024,161
Turnovers,0,2,11.0,2024,161
Penalties-Yards,7-66,7-45,11.0,2024,161
Third Down Conv.,2-8,6-14,11.0,2024,161
Fourth Down Conv.,1-1,0-0,11.0,2024,161
Time of Possession,22:40,37:20,11.0,2024,161
