Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Eagles to receive the opening kickoff.",,,11.0,2024,153
1.0,15:00,,,WAS 35,0.0,0.0,"Zane Gonzalez kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,153
1.0,15:00,1.0,10.0,PHI 30,0.0,0.0,Jalen Hurts pass complete short right to Jahan Dotson for 8 yards (tackle by Noah Igbinoghene),0.94,1.47,11.0,2024,153
1.0,14:22,2.0,2.0,PHI 38,0.0,0.0,Jalen Hurts pass incomplete short right intended for Saquon Barkley,1.47,0.76,11.0,2024,153
1.0,14:16,3.0,2.0,PHI 38,0.0,0.0,Saquon Barkley right guard for 3 yards (tackle by Dorance Armstrong),0.76,1.66,11.0,2024,153
1.0,13:48,1.0,10.0,PHI 41,0.0,0.0,Saquon Barkley up the middle for 4 yards (tackle by Jer'Zhan Newton and Bobby Wagner),1.66,1.66,11.0,2024,153
1.0,13:04,2.0,6.0,PHI 45,0.0,0.0,Jalen Hurts pass incomplete short left,1.66,0.96,11.0,2024,153
1.0,12:58,3.0,6.0,PHI 45,0.0,0.0,Jalen Hurts pass complete short middle to A.J. Brown for 7 yards (tackle by Noah Igbinoghene),0.96,2.39,11.0,2024,153
1.0,12:30,1.0,10.0,WAS 48,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 25 yards (tackle by Mike Sainristil and Quan Martin),2.39,4.04,11.0,2024,153
1.0,12:02,1.0,10.0,WAS 23,0.0,0.0,Saquon Barkley up the middle for -2 yards (tackle by Jalyn Holmes),4.04,3.23,11.0,2024,153
1.0,11:17,2.0,12.0,WAS 25,0.0,0.0,"Jalen Hurts pass complete short right to Ainias Smith for no gain (tackle by Mike Sainristil). Penalty on Mekhi Becton: Offensive Holding, 10 yards (accepted) (no play)",3.23,1.88,11.0,2024,153
1.0,10:48,2.0,22.0,WAS 35,0.0,0.0,Jalen Hurts pass incomplete short left,1.88,1.22,11.0,2024,153
1.0,10:42,3.0,22.0,WAS 35,0.0,0.0,Kenneth Gainwell left tackle for 9 yards (tackle by Benjamin St-Juste),1.22,1.74,11.0,2024,153
1.0,9:59,4.0,13.0,WAS 26,0.0,0.0,Jake Elliott 44 yard field goal no good,1.74,-1.2,11.0,2024,153
1.0,9:55,1.0,10.0,WAS 34,0.0,0.0,Jayden Daniels pass complete short right to Austin Ekeler for 5 yards (tackle by Zack Baun),1.2,1.33,11.0,2024,153
1.0,9:29,2.0,5.0,WAS 39,0.0,0.0,Brian Robinson up the middle for 1 yard (tackle by Nakobe Dean and Jordan Davis),1.33,0.76,11.0,2024,153
1.0,8:51,3.0,4.0,WAS 40,0.0,0.0,Jayden Daniels pass incomplete short middle intended for Noah Brown (defended by Zack Baun),0.76,-0.72,11.0,2024,153
1.0,8:47,4.0,4.0,WAS 40,0.0,0.0,"Tress Way punts 51 yards, fair catch by Cooper DeJean at PHI-9",-0.72,0.38,11.0,2024,153
1.0,8:40,1.0,10.0,PHI 9,0.0,0.0,Saquon Barkley left end for 8 yards (tackle by Benjamin St-Juste),-0.38,-0.02,11.0,2024,153
1.0,7:59,2.0,2.0,PHI 17,0.0,0.0,Saquon Barkley right guard for 1 yard (tackle by Jeremy Chinn),-0.02,-0.37,11.0,2024,153
1.0,7:38,3.0,1.0,PHI 18,0.0,0.0,Jalen Hurts up the middle for 2 yards (tackle by Daron Payne),-0.37,0.28,11.0,2024,153
1.0,6:52,1.0,10.0,PHI 20,0.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 2 yards (tackle by Jeremy Chinn),0.28,0.0,11.0,2024,153
1.0,6:23,2.0,8.0,PHI 22,0.0,0.0,Jalen Hurts pass incomplete short right intended for A.J. Brown,0.0,-0.69,11.0,2024,153
