Unnamed: 0,GNB,CHI,week,year,game_id
First Downs,19,23,11.0,2024,154
Rush-Yds-TDs,25-106-2,34-179-2,11.0,2024,154
Cmp-Att-Yd-TD-INT,13-17-261-1-1,23-31-231-0-0,11.0,2024,154
Sacked-Yards,1-1,3-19,11.0,2024,154
Net Pass Yards,260,212,11.0,2024,154
Total Yards,366,391,11.0,2024,154
Fumbles-Lost,0-0,0-0,11.0,2024,154
Turnovers,1,0,11.0,2024,154
Penalties-Yards,3-25,7-50,11.0,2024,154
Third Down Conv.,1-5,9-16,11.0,2024,154
Fourth Down Conv.,0-1,3-3,11.0,2024,154
Time of Possession,23:39,36:21,11.0,2024,154
