Unnamed: 0,IND,NYJ,week,year,game_id
First Downs,18,10,11.0,2024,160
Rush-Yds-TDs,35-91-2,20-91-1,11.0,2024,160
Cmp-Att-Yd-TD-INT,20-30-272-1-0,22-29-184-2-0,11.0,2024,160
Sacked-Yards,2-31,3-22,11.0,2024,160
Net Pass Yards,241,162,11.0,2024,160
Total Yards,332,253,11.0,2024,160
Fumbles-Lost,2-1,1-0,11.0,2024,160
Turnovers,1,0,11.0,2024,160
Penalties-Yards,5-40,2-14,11.0,2024,160
Third Down Conv.,6-15,4-13,11.0,2024,160
Fourth Down Conv.,1-2,0-1,11.0,2024,160
Time of Possession,34:17,25:43,11.0,2024,160
