Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA,week,year,game_id
1.0,8:56,2.0,10.0,NYJ 30,3.0,0.0,Breece Hall left guard for 1 yard (tackle by Nick Cross and Jaylon Jones),0.39,-0.16,11.0,2024,160
1.0,8:16,3.0,9.0,NYJ 31,3.0,0.0,Aaron Rodgers pass incomplete short middle intended for Garrett Wilson,-0.16,-1.31,11.0,2024,160
1.0,8:14,4.0,9.0,NYJ 31,3.0,0.0,"Thomas Morstead punts 54 yards, returned by Josh Downs for 8 yards (tackle by Isaiah Davis)",-1.31,-0.48,11.0,2024,160
1.0,8:06,1.0,10.0,IND 23,3.0,0.0,Anthony Richardson left end for 4 yards (tackle by Jalen Mills),0.48,0.47,11.0,2024,160
1.0,7:28,2.0,6.0,IND 27,3.0,0.0,Anthony Richardson pass complete short left to Jonathan Taylor for 3 yards (tackle by Micheal Clemons),0.47,0.17,11.0,2024,160
1.0,6:43,3.0,3.0,IND 30,3.0,0.0,Jonathan Taylor up the middle for 2 yards (tackle by Micheal Clemons and Javon Kinlaw),0.17,-1.24,11.0,2024,160
1.0,5:58,4.0,1.0,IND 32,3.0,0.0,"Rigoberto Sanchez punts 53 yards, returned by Xavier Gipson for 7 yards (tackle by Tyler Goodson and Ashton Dulin)",-1.24,-0.41,11.0,2024,160
1.0,5:48,1.0,10.0,NYJ 22,3.0,0.0,Aaron Rodgers pass complete short right to Breece Hall for 2 yards (tackle by Nick Cross),0.41,0.14,11.0,2024,160
1.0,5:11,2.0,8.0,NYJ 24,3.0,0.0,Breece Hall left tackle for 6 yards (tackle by E.J. Speed and Zaire Franklin),0.14,0.23,11.0,2024,160
1.0,4:35,3.0,2.0,NYJ 30,3.0,0.0,Aaron Rodgers sacked by Laiatu Latu for -7 yards,0.23,-1.83,11.0,2024,160
1.0,3:48,4.0,9.0,NYJ 23,3.0,0.0,"Thomas Morstead punts 59 yards, returned by Josh Downs for 16 yards (tackle by Chazz Surratt)",-1.83,-1.2,11.0,2024,160
1.0,3:38,1.0,10.0,IND 34,3.0,0.0,Anthony Richardson pass complete short left to Mo Alie-Cox for 5 yards (tackle by Chuck Clark),1.2,1.33,11.0,2024,160
1.0,3:03,2.0,5.0,IND 39,3.0,0.0,Anthony Richardson up the middle for 5 yards (tackle by Jamien Sherwood and Jalen Mills),1.33,1.86,11.0,2024,160
1.0,2:20,1.0,10.0,IND 44,3.0,0.0,Anthony Richardson pass complete short middle to Michael Pittman for 16 yards (tackle by Jalen Mills),1.86,2.92,11.0,2024,160
1.0,1:56,1.0,10.0,NYJ 40,3.0,0.0,Jonathan Taylor left tackle for 3 yards (tackle by Quinnen Williams and Micheal Clemons),2.92,2.78,11.0,2024,160
1.0,1:13,2.0,7.0,NYJ 37,3.0,0.0,Anthony Richardson right end for 3 yards (tackle by Jamien Sherwood and Quincy Williams),2.78,2.48,11.0,2024,160
1.0,0:31,3.0,4.0,NYJ 34,3.0,0.0,Anthony Richardson pass complete short left to Adonai Mitchell for 33 yards (tackle by Chuck Clark),2.48,6.97,11.0,2024,160
2.0,15:00,1.0,1.0,NYJ 1,3.0,0.0,Jonathan Taylor right end for -1 yards (tackle by Leonard Taylor and Samuel Eguavoen),6.97,5.72,11.0,2024,160
2.0,14:16,2.0,2.0,NYJ 2,9.0,0.0,"Anthony Richardson left end for 2 yards, touchdown",5.72,7.0,11.0,2024,160
2.0,14:11,,,NYJ 15,10.0,0.0,Matt Gay kicks extra point good,0.0,0.0,11.0,2024,160
2.0,14:11,,,IND 35,10.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,160
2.0,14:11,1.0,10.0,NYJ 30,10.0,0.0,Aaron Rodgers pass complete short right to Davante Adams for 1 yard (tackle by Grant Stuard),0.94,0.53,11.0,2024,160
2.0,13:37,2.0,9.0,NYJ 31,10.0,0.0,Aaron Rodgers pass complete short left to Garrett Wilson for 1 yard (tackle by Jaylon Jones and Kenny Moore),0.53,-0.03,11.0,2024,160
2.0,12:57,3.0,8.0,NYJ 32,10.0,0.0,Aaron Rodgers scrambles left tackle for 7 yards (tackle by E.J. Speed),-0.03,-0.78,11.0,2024,160
2.0,12:08,4.0,1.0,NYJ 39,10.0,0.0,Tyler Conklin up the middle for no gain (tackle by DeForest Buckner and Kwity Paye),-0.78,-2.98,11.0,2024,160
2.0,12:06,1.0,10.0,NYJ 39,10.0,0.0,Jonathan Taylor right guard for 3 yards (tackle by Javon Kinlaw and Quinnen Williams),2.98,2.85,11.0,2024,160
2.0,11:34,2.0,7.0,NYJ 36,10.0,0.0,Anthony Richardson up the middle for 5 yards (tackle by Javon Kinlaw),2.85,2.81,11.0,2024,160
2.0,10:51,3.0,2.0,NYJ 31,10.0,0.0,Jonathan Taylor left tackle for 1 yard (tackle by Jamien Sherwood and Quincy Williams),2.81,1.52,11.0,2024,160
2.0,10:09,4.0,1.0,NYJ 30,10.0,0.0,Jonathan Taylor up the middle for 1 yard (tackle by Quincy Williams and Jamien Sherwood),1.52,3.64,11.0,2024,160
2.0,9:32,1.0,10.0,NYJ 29,10.0,0.0,Jonathan Taylor up the middle for 4 yards (tackle by Eric Watts),3.64,3.64,11.0,2024,160
2.0,8:52,2.0,6.0,NYJ 25,10.0,0.0,Anthony Richardson pass complete short left to Andrew Ogletree for 8 yards (tackle by D.J. Reed),3.64,4.44,11.0,2024,160
2.0,8:24,1.0,10.0,NYJ 17,10.0,0.0,Jonathan Taylor up the middle for 2 yards (tackle by Quincy Williams and Eric Watts),4.44,4.15,11.0,2024,160
2.0,7:43,2.0,8.0,NYJ 15,10.0,0.0,Adonai Mitchell left end for 2 yards (tackle by Sauce Gardner),4.15,3.68,11.0,2024,160
2.0,7:01,3.0,6.0,NYJ 13,10.0,0.0,Anthony Richardson sacked by Quinnen Williams for -16 yards,3.68,1.5,11.0,2024,160
2.0,6:12,4.0,22.0,NYJ 29,13.0,0.0,Matt Gay 47 yard field goal good,1.5,3.0,11.0,2024,160
2.0,6:08,,,IND 35,13.0,0.0,"Matt Gay kicks off 67 yards, returned by Isaiah Davis for 24 yards (tackle by Grant Stuard)",0.0,0.41,11.0,2024,160
2.0,6:02,1.0,10.0,NYJ 22,13.0,0.0,Breece Hall right tackle for 3 yards (tackle by Dayo Odeyingbo and E.J. Speed),0.41,0.27,11.0,2024,160
2.0,5:28,2.0,7.0,NYJ 25,13.0,0.0,Aaron Rodgers pass complete short left to Davante Adams for -1 yards (tackle by Kenny Moore and Jaylon Jones),0.27,-0.56,11.0,2024,160
2.0,4:42,3.0,8.0,NYJ 24,13.0,0.0,Aaron Rodgers pass complete short right to Garrett Wilson for 7 yards (tackle by Samuel Womack),-0.56,-1.31,11.0,2024,160
2.0,3:59,4.0,1.0,NYJ 31,13.0,0.0,"Thomas Morstead punts 52 yards, returned by Josh Downs for 13 yards (tackle by Chazz Surratt and Thomas Hennessy)",-1.31,-0.94,11.0,2024,160
2.0,3:46,1.0,10.0,IND 30,13.0,0.0,Jonathan Taylor up the middle for -1 yards (tackle by Leonard Taylor),0.94,0.26,11.0,2024,160
2.0,3:12,2.0,11.0,IND 29,13.0,0.0,Anthony Richardson pass incomplete deep right intended for Michael Pittman,0.26,-0.43,11.0,2024,160
2.0,3:03,,,,,,Timeout #1 by Indianapolis Colts,,,11.0,2024,160
2.0,3:03,3.0,11.0,IND 29,13.0,0.0,Anthony Richardson pass complete short left to Trey Sermon for 3 yards (tackle by Michael Carter),-0.43,-1.24,11.0,2024,160
2.0,2:25,4.0,8.0,IND 32,13.0,0.0,"Rigoberto Sanchez punts 46 yards, returned by Xavier Gipson for 2 yards (tackle by Ashton Dulin)",-1.24,-0.54,11.0,2024,160
2.0,2:17,1.0,10.0,NYJ 24,13.0,0.0,Aaron Rodgers pass complete short left to Garrett Wilson for 6 yards (tackle by Jaylon Jones and Taven Bryan),0.54,0.81,11.0,2024,160
2.0,2:00,2.0,4.0,NYJ 30,13.0,0.0,Breece Hall right end for 6 yards (tackle by Kwity Paye and DeForest Buckner),0.81,1.33,11.0,2024,160
2.0,1:31,1.0,10.0,NYJ 36,13.0,0.0,Aaron Rodgers pass complete short middle to Tyler Conklin for 7 yards (tackle by Zaire Franklin and E.J. Speed),1.33,1.74,11.0,2024,160
2.0,1:06,2.0,3.0,NYJ 43,13.0,0.0,Aaron Rodgers pass complete short left to Davante Adams for 24 yards (tackle by Nick Cross),1.74,3.38,11.0,2024,160
2.0,0:58,1.0,10.0,IND 33,13.0,0.0,Breece Hall right tackle for 4 yards (tackle by Kenny Moore),3.38,3.38,11.0,2024,160
2.0,0:52,,,,,,Timeout #1 by New York Jets,,,11.0,2024,160
2.0,0:52,2.0,6.0,IND 29,13.0,0.0,Aaron Rodgers pass incomplete short middle intended for Garrett Wilson (defended by Jaylon Jones),3.38,2.68,11.0,2024,160
2.0,0:48,3.0,6.0,IND 29,13.0,6.0,"Aaron Rodgers pass complete short middle to Breece Hall for 29 yards, touchdown",2.68,7.0,11.0,2024,160
2.0,0:40,,,IND 15,13.0,7.0,Anders Carlson kicks extra point good,0.0,0.0,11.0,2024,160
2.0,0:40,,,NYJ 35,13.0,7.0,"Anders Carlson kicks off 66 yards, returned by Tyler Goodson for 33 yards (tackle by Chazz Surratt)",0.0,1.07,11.0,2024,160
2.0,0:34,1.0,10.0,IND 32,13.0,7.0,Jonathan Taylor right guard for 3 yards (tackle by Will McDonald and Chuck Clark),1.07,0.93,11.0,2024,160
2.0,0:12,2.0,7.0,IND 35,13.0,7.0,Anthony Richardson pass complete short right to Kylen Granson for 4 yards (tackle by Sauce Gardner),0.93,0.76,11.0,2024,160
2.0,0:08,,,,,,Timeout #2 by New York Jets,,,11.0,2024,160
2.0,0:08,3.0,3.0,IND 39,13.0,7.0,Anthony Richardson pass incomplete deep middle intended for Michael Pittman,0.76,-0.78,11.0,2024,160
2.0,0:03,4.0,3.0,IND 39,13.0,7.0,Anthony Richardson pass incomplete deep right,-0.78,1.53,11.0,2024,160
3.0,15:00,,,NYJ 35,13.0,7.0,"Anders Carlson kicks off 68 yards, returned by Ashton Dulin for 43 yards (tackle by Chazz Surratt)",0.0,1.6,11.0,2024,160
3.0,14:55,1.0,10.0,IND 40,13.0,7.0,Jonathan Taylor up the middle for 4 yards (tackle by Solomon Thomas),1.6,1.59,11.0,2024,160
