Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Texans to receive the opening kickoff.",,,11.0,2024,166
1.0,15:00,,,DAL 35,0.0,0.0,"Brandon Aubrey kicks off 63 yards, returned by Robert Woods for 21 yards (tackle by Kemon Hall)",0.0,0.48,11.0,2024,166
1.0,14:55,1.0,10.0,HOU 23,0.0,0.0,"C.J. Stroud pass complete short left to Nico Collins for no gain, touchdown. Penalty on Laremy Tunsil: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.48,0.0,11.0,2024,166
1.0,14:44,1.0,15.0,HOU 18,0.0,0.0,"Joe Mixon right tackle for 1 yard (tackle by Eric Kendricks). Penalty on Mazi Smith: Defensive Holding, 5 yards (accepted)",0.0,0.54,11.0,2024,166
1.0,14:21,1.0,10.0,HOU 24,0.0,0.0,C.J. Stroud pass complete short left to Robert Woods for 7 yards (tackle by Trevon Diggs),0.54,0.94,11.0,2024,166
1.0,13:52,2.0,3.0,HOU 31,0.0,0.0,C.J. Stroud pass incomplete short middle intended for Tank Dell,0.94,0.23,11.0,2024,166
1.0,13:47,3.0,3.0,HOU 31,0.0,0.0,C.J. Stroud pass complete short right to Dalton Schultz for 8 yards (tackle by DeMarvion Overshown),0.23,1.53,11.0,2024,166
1.0,13:20,1.0,10.0,HOU 39,0.0,0.0,C.J. Stroud pass complete short middle to John Metchie for 16 yards (tackle by Malik Hooker),1.53,2.59,11.0,2024,166
1.0,12:50,1.0,10.0,DAL 45,6.0,0.0,"Joe Mixon right tackle for 45 yards, touchdown",2.59,7.0,11.0,2024,166
1.0,12:42,,,DAL 15,6.0,0.0,"Penalty on Tommy Townsend: Delay of Game, 5 yards (accepted) (no play)",0.0,0.0,11.0,2024,166
1.0,12:42,,,DAL 20,7.0,0.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,11.0,2024,166
1.0,12:42,,,HOU 35,7.0,0.0,"Ka'imi Fairbairn kicks off 63 yards, returned by KaVontae Turpin for 26 yards (tackle by Neville Hewitt). Penalty on Israel Mukuamu: Offensive Holding, 10 yards (accepted)",0.0,0.04,11.0,2024,166
1.0,12:36,1.0,10.0,DAL 18,7.0,0.0,Rico Dowdle left guard for 3 yards (tackle by Henry To'oTo'o),0.04,0.01,11.0,2024,166
1.0,12:07,2.0,7.0,DAL 21,7.0,0.0,Cooper Rush pass complete short right to CeeDee Lamb for 11 yards (tackle by Denico Autry),0.01,1.07,11.0,2024,166
1.0,11:32,1.0,10.0,DAL 32,7.0,0.0,Cooper Rush pass incomplete short left intended for Rico Dowdle,1.07,0.53,11.0,2024,166
1.0,11:25,2.0,10.0,DAL 32,7.0,0.0,Rico Dowdle left tackle for 1 yard (tackle by Henry To'oTo'o),0.53,-0.03,11.0,2024,166
1.0,10:48,3.0,9.0,DAL 33,7.0,0.0,Cooper Rush pass incomplete short right intended for Jalen Tolbert,-0.03,-1.18,11.0,2024,166
1.0,10:41,4.0,9.0,DAL 33,7.0,0.0,Bryan Anger pass complete short middle to Juanyeh Thomas for 4 yards (tackle by John Metchie),-1.18,-3.12,11.0,2024,166
