Unnamed: 0,JAX,DET,week,year,game_id
First Downs,10,38,11.0,2024,156
Rush-Yds-TDs,17-41-0,43-196-3,11.0,2024,156
Cmp-Att-Yd-TD-INT,17-29-138-0-1,27-33-449-4-0,11.0,2024,156
Sacked-Yards,1-9,0-0,11.0,2024,156
Net Pass Yards,129,449,11.0,2024,156
Total Yards,170,645,11.0,2024,156
Fumbles-Lost,0-0,0-0,11.0,2024,156
Turnovers,1,0,11.0,2024,156
Penalties-Yards,6-40,4-46,11.0,2024,156
Third Down Conv.,2-10,6-10,11.0,2024,156
Fourth Down Conv.,1-2,3-3,11.0,2024,156
Time of Possession,20:54,39:06,11.0,2024,156
