Quarter,Time,Down,ToGo,Location,GNB,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Packers to receive the opening kickoff.",,,11.0,2024,154
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,154
1.0,15:00,1.0,10.0,GNB 30,0.0,0.0,Josh Jacobs right tackle for 1 yard (tackle by Byron Cowart and Elijah Hicks),0.94,0.53,11.0,2024,154
1.0,14:23,2.0,9.0,GNB 31,0.0,0.0,Josh Jacobs right tackle for 10 yards (tackle by Kevin Byard and Jack Sanborn),0.53,1.66,11.0,2024,154
1.0,13:41,1.0,10.0,GNB 41,0.0,0.0,Jordan Love pass incomplete short middle intended for Dontayvion Wicks (defended by Jaylon Johnson),1.66,1.12,11.0,2024,154
1.0,13:35,2.0,10.0,GNB 41,0.0,0.0,Jordan Love pass complete deep right to Romeo Doubs for 17 yards,1.12,2.79,11.0,2024,154
1.0,12:59,1.0,10.0,CHI 42,0.0,0.0,Josh Jacobs right guard for 8 yards (tackle by Tremaine Edmunds and Darrell Taylor),2.79,3.32,11.0,2024,154
1.0,12:20,2.0,2.0,CHI 34,0.0,0.0,Josh Jacobs right guard for 6 yards (tackle by Jaylon Johnson),3.32,3.71,11.0,2024,154
1.0,11:38,1.0,10.0,CHI 28,0.0,0.0,Emanuel Wilson left guard for 13 yards (tackle by Elijah Hicks),3.71,4.58,11.0,2024,154
1.0,11:18,1.0,10.0,CHI 15,6.0,0.0,"Jordan Love pass complete short middle to Jayden Reed for 15 yards, touchdown Penalty on CHI: Defensive Too Many Men on Field, 5 yards (declined) . Penalty on Zacch Pickens: Defensive Offside, 5 yards (declined)",4.58,7.0,11.0,2024,154
1.0,11:15,,,CHI 15,7.0,0.0,Brandon McManus kicks extra point good,0.0,0.0,11.0,2024,154
1.0,11:15,,,GNB 35,7.0,0.0,"Brandon McManus kicks off 66 yards, returned by DeAndre Carter for 32 yards (tackle by Edgerrin Cooper)",0.0,1.0,11.0,2024,154
1.0,11:09,1.0,10.0,CHI 31,7.0,0.0,D'Andre Swift left guard for 2 yards (tackle by Kingsley Enagbare),1.0,0.73,11.0,2024,154
1.0,10:39,2.0,8.0,CHI 33,7.0,0.0,Caleb Williams pass incomplete short right intended for Rome Odunze,0.73,0.04,11.0,2024,154
1.0,10:34,3.0,8.0,CHI 33,7.0,0.0,Caleb Williams scrambles left end for 16 yards (tackle by Xavier McKinney),0.04,2.19,11.0,2024,154
1.0,9:55,1.0,10.0,CHI 49,7.0,0.0,Caleb Williams pass complete short left to D.J. Moore for 16 yards (tackle by Xavier McKinney and Edgerrin Cooper),2.19,3.25,11.0,2024,154
