Quarter,Time,Down,ToGo,Location,MIN,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Titans to receive the opening kickoff.",,,11.0,2024,158
1.0,15:00,,,MIN 35,0.0,0.0,"John Parker Romo kicks off 63 yards, returned by Julius Chestnut for 23 yards (tackle by Bo Richter)",0.0,0.61,11.0,2024,158
1.0,14:54,1.0,10.0,TEN 25,0.0,0.0,Will Levis pass incomplete short left intended for Tony Pollard,0.61,0.06,11.0,2024,158
1.0,14:50,2.0,10.0,TEN 25,0.0,0.0,Tony Pollard up the middle for -2 yards (tackle by Byron Murphy and Andrew Van Ginkel),0.06,-0.89,11.0,2024,158
1.0,14:17,3.0,12.0,TEN 23,0.0,0.0,Will Levis pass complete short right to Chigoziem Okonkwo for 12 yards (tackle by Stephon Gilmore),-0.89,1.27,11.0,2024,158
1.0,13:37,1.0,10.0,TEN 35,0.0,0.0,Will Levis scrambles right end for 2 yards (tackle by Jonathan Greenard),1.27,0.99,11.0,2024,158
1.0,12:56,2.0,8.0,TEN 37,0.0,0.0,"Penalty on Nicholas Petit-Frere: False Start, 5 yards (accepted) (no play)",0.99,0.32,11.0,2024,158
1.0,12:48,2.0,13.0,TEN 32,0.0,0.0,Will Levis pass complete short left to Chigoziem Okonkwo for 7 yards (tackle by Andrew Van Ginkel),0.32,0.56,11.0,2024,158
1.0,12:06,3.0,6.0,TEN 39,0.0,0.0,Will Levis sacked by Blake Cashman for -10 yards,0.56,-1.44,11.0,2024,158
1.0,11:25,4.0,16.0,TEN 29,0.0,0.0,Ryan Stonehouse punts 32 yards out of bounds,-1.44,-1.53,11.0,2024,158
1.0,11:18,1.0,10.0,MIN 39,0.0,0.0,Sam Darnold pass complete short left to Justin Jefferson for 5 yards (tackle by Darrell Baker),1.53,1.66,11.0,2024,158
1.0,10:48,2.0,5.0,MIN 44,0.0,0.0,"Sam Darnold scrambles left end for 5 yards (tackle by Kenneth Murray). Penalty on Kenneth Murray: Unnecessary Roughness / Defense, 15 yards (accepted)",1.66,3.18,11.0,2024,158
1.0,10:30,1.0,10.0,TEN 36,0.0,0.0,"Sam Darnold aborted snap, recovered by Jeffery Simmons at TEN-45",3.18,-1.93,11.0,2024,158
1.0,10:22,1.0,10.0,TEN 45,0.0,0.0,Tyjae Spears up the middle for 4 yards (tackle by Jonathan Greenard),1.93,1.92,11.0,2024,158
1.0,9:48,2.0,6.0,TEN 49,0.0,0.0,Tony Pollard right end for 4 yards (tackle by Andrew Van Ginkel),1.92,1.75,11.0,2024,158
1.0,9:09,3.0,2.0,MIN 47,0.0,0.0,Will Levis right end for 3 yards (tackle by Harrison Smith),1.75,2.65,11.0,2024,158
1.0,8:30,1.0,10.0,MIN 44,0.0,0.0,Will Levis scrambles right end for 10 yards (tackle by Stephon Gilmore),2.65,3.31,11.0,2024,158
1.0,7:49,1.0,10.0,MIN 34,0.0,0.0,Will Levis left end for 1 yard (tackle by Andrew Van Ginkel and Patrick Jones),3.31,2.91,11.0,2024,158
1.0,7:12,2.0,9.0,MIN 33,0.0,0.0,Will Levis pass incomplete deep middle intended for Nick Westbrook-Ikhine,2.91,2.21,11.0,2024,158
1.0,7:07,3.0,9.0,MIN 33,0.0,0.0,"Will Levis pass complete deep right to Calvin Ridley for 21 yards (tackle by Byron Murphy). Penalty on Byron Murphy: Defensive Pass Interference, 15 yards (declined)",2.21,4.78,11.0,2024,158
1.0,6:41,1.0,10.0,MIN 12,0.0,0.0,Tony Pollard right guard for 3 yards (tackle by Patrick Jones),4.78,4.64,11.0,2024,158
1.0,6:01,2.0,7.0,MIN 9,0.0,0.0,Will Levis left tackle for 3 yards (tackle by Andrew Van Ginkel),4.64,4.38,11.0,2024,158
1.0,5:20,3.0,4.0,MIN 6,0.0,0.0,Will Levis sacked by Patrick Jones for -5 yards,4.38,2.7,11.0,2024,158
1.0,4:42,4.0,9.0,MIN 11,0.0,3.0,Nick Folk 30 yard field goal good,2.7,3.0,11.0,2024,158
1.0,4:39,,,TEN 35,0.0,3.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,158
1.0,4:39,1.0,10.0,MIN 30,0.0,3.0,Aaron Jones right end for 3 yards (tackle by Sebastian Joseph-Day),0.94,0.8,11.0,2024,158
1.0,4:08,2.0,7.0,MIN 33,0.0,3.0,Sam Darnold pass complete short left to Justin Jefferson for 4 yards (tackle by Arden Key),0.8,0.63,11.0,2024,158
1.0,3:29,3.0,3.0,MIN 37,0.0,3.0,"Sam Darnold pass incomplete deep left intended for Justin Jefferson (defended by Jarvis Brownlee). Penalty on Jarvis Brownlee: Defensive Pass Interference, 16 yards (accepted) (no play)",0.63,2.46,11.0,2024,158
1.0,3:25,1.0,10.0,TEN 47,6.0,3.0,"Sam Darnold pass complete short middle to Jordan Addison for 47 yards, touchdown",2.46,7.0,11.0,2024,158
1.0,3:16,,,TEN 15,7.0,3.0,John Parker Romo kicks extra point good,0.0,0.0,11.0,2024,158
1.0,3:16,,,MIN 35,7.0,3.0,"John Parker Romo kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,158
1.0,3:16,1.0,10.0,TEN 30,7.0,3.0,"Tony Pollard left tackle for no gain (tackle by Ivan Pace). Penalty on Nick Vannett: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,11.0,2024,158
1.0,2:56,1.0,20.0,TEN 20,7.0,3.0,Will Levis pass complete deep left to Nick Westbrook-Ikhine for 19 yards (tackle by Camryn Bynum),0.28,1.61,11.0,2024,158
1.0,2:19,2.0,1.0,TEN 39,7.0,3.0,Tony Pollard left tackle for 2 yards (tackle by Ivan Pace and Blake Cashman),1.61,1.66,11.0,2024,158
1.0,1:40,1.0,10.0,TEN 41,7.0,3.0,Tyjae Spears right guard for -2 yards (tackle by Patrick Jones and Blake Cashman),1.66,0.85,11.0,2024,158
1.0,1:04,2.0,12.0,TEN 39,7.0,3.0,Will Levis pass incomplete deep middle intended for Calvin Ridley,0.85,0.17,11.0,2024,158
1.0,0:57,3.0,12.0,TEN 39,7.0,3.0,Will Levis pass incomplete short right intended for Chigoziem Okonkwo,0.17,-0.78,11.0,2024,158
1.0,0:54,4.0,12.0,TEN 39,7.0,3.0,"Ryan Stonehouse punts 50 yards, fair catch by Brandon Powell at MIN-11",-0.78,0.37,11.0,2024,158
1.0,0:47,1.0,10.0,MIN 11,7.0,3.0,Aaron Jones left guard for 4 yards (tackle by Harold Landry),-0.37,-0.43,11.0,2024,158
1.0,0:17,2.0,6.0,MIN 15,7.0,3.0,Sam Darnold pass incomplete short left intended for Jordan Addison,-0.43,-0.95,11.0,2024,158
