Unnamed: 0,ATL,DEN,week,year,game_id
First Downs,13,22,11.0,2024,163
Rush-Yds-TDs,21-50-0,26-105-1,11.0,2024,163
Cmp-Att-Yd-TD-INT,20-31-197-0-1,28-33-307-4-0,11.0,2024,163
Sacked-Yards,4-21,1-12,11.0,2024,163
Net Pass Yards,176,295,11.0,2024,163
Total Yards,226,400,11.0,2024,163
Fumbles-Lost,1-0,1-0,11.0,2024,163
Turnovers,1,0,11.0,2024,163
Penalties-Yards,6-52,4-45,11.0,2024,163
Third Down Conv.,4-13,6-11,11.0,2024,163
Fourth Down Conv.,2-2,1-1,11.0,2024,163
Time of Possession,29:55,30:05,11.0,2024,163
