Quarter,Time,Down,ToGo,Location,LVR,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,11.0,2024,157
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,157
1.0,15:00,1.0,10.0,MIA 30,0.0,0.0,De'Von Achane right tackle for 5 yards (tackle by Maxx Crosby),0.94,1.07,11.0,2024,157
1.0,14:28,2.0,5.0,MIA 35,0.0,0.0,Tua Tagovailoa pass complete short left to Malik Washington for -2 yards (tackle by Charles Snowden),1.07,0.1,11.0,2024,157
1.0,13:48,3.0,7.0,MIA 33,0.0,0.0,"Tua Tagovailoa pass complete short right to De'Von Achane for 17 yards (tackle by Divine Deablo). Penalty on Maxx Crosby: Unnecessary Roughness / Defense, 15 yards (accepted)",0.1,3.25,11.0,2024,157
1.0,13:23,1.0,10.0,LVR 35,0.0,0.0,Tua Tagovailoa pass complete short right to De'Von Achane for 7 yards (tackle by Divine Deablo),3.25,3.65,11.0,2024,157
1.0,12:47,2.0,3.0,LVR 28,0.0,0.0,Tua Tagovailoa pass complete deep left to Tyreek Hill for 16 yards (tackle by Isaiah Pola-Mao),3.65,4.78,11.0,2024,157
1.0,12:11,1.0,10.0,LVR 12,0.0,0.0,De'Von Achane left guard for -1 yards (tackle by John Jenkins and Tyree Wilson),4.78,3.94,11.0,2024,157
1.0,11:33,2.0,11.0,LVR 13,0.0,0.0,"Tua Tagovailoa sacked by Tyree Wilson for -9 yards. Tua Tagovailoa fumbles (forced by Tyree Wilson), recovered by Kendall Lamm at LV-22",3.94,2.21,11.0,2024,157
1.0,10:46,3.0,20.0,LVR 22,0.0,0.0,"Tua Tagovailoa pass complete short middle to Raheem Mostert for no gain (tackle by Jack Jones). Penalty on K'Lavon Chaisson: Defensive Holding, 5 yards (accepted) (no play)",2.21,4.44,11.0,2024,157
1.0,10:15,1.0,10.0,LVR 17,0.0,0.0,De'Von Achane left tackle for 4 yards (tackle by Decamerion Richardson and Robert Spillane),4.44,4.5,11.0,2024,157
1.0,9:33,2.0,6.0,LVR 13,0.0,0.0,De'Von Achane up the middle for 3 yards (tackle by Jonah Laulu and Robert Spillane),4.5,4.34,11.0,2024,157
1.0,8:54,3.0,3.0,LVR 10,0.0,0.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 6 yards (tackle by Isaiah Pola-Mao),4.34,6.28,11.0,2024,157
1.0,8:19,1.0,4.0,LVR 4,0.0,0.0,Raheem Mostert up the middle for 1 yard (tackle by Adam Butler and John Jenkins),6.28,5.53,11.0,2024,157
1.0,7:39,2.0,3.0,LVR 3,0.0,0.0,Tua Tagovailoa pass complete short middle to De'Von Achane for 2 yards (tackle by Divine Deablo),5.53,5.17,11.0,2024,157
1.0,6:54,3.0,1.0,LVR 1,0.0,0.0,Tua Tagovailoa pass incomplete short left intended for Jonnu Smith,5.17,3.55,11.0,2024,157
1.0,6:50,4.0,1.0,LVR 1,0.0,6.0,"Tua Tagovailoa pass complete short left to Jonnu Smith for 1 yard, touchdown",3.55,7.0,11.0,2024,157
1.0,6:47,,,LVR 15,0.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,11.0,2024,157
1.0,6:47,,,MIA 35,0.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,157
1.0,6:47,1.0,10.0,LVR 30,0.0,7.0,Gardner Minshew pass incomplete short middle intended for Michael Mayer,0.94,0.39,11.0,2024,157
1.0,6:42,2.0,10.0,LVR 30,0.0,7.0,Zamir White up the middle for 2 yards (tackle by Tyus Bowser),0.39,-0.03,11.0,2024,157
1.0,6:05,3.0,8.0,LVR 32,0.0,7.0,Gardner Minshew pass complete short right to Tre Tucker for 4 yards (tackle by Zach Sieler),-0.03,-0.98,11.0,2024,157
1.0,5:27,4.0,4.0,LVR 36,0.0,7.0,"AJ Cole punts, touchback.. Penalty on Calais Campbell: Running Into the Kicker, 5 yards (accepted) (no play)",-0.98,1.66,11.0,2024,157
1.0,5:18,1.0,10.0,LVR 41,0.0,7.0,Tre Tucker left end for 7 yards (tackle by Anthony Walker),1.66,2.07,11.0,2024,157
1.0,4:43,2.0,3.0,LVR 48,0.0,7.0,Zamir White left tackle for 2 yards (tackle by Jordyn Brooks),2.07,1.62,11.0,2024,157
1.0,3:57,3.0,1.0,LVR 50,0.0,7.0,Jakobi Meyers left end for 20 yards (tackle by Jordyn Brooks),1.62,3.58,11.0,2024,157
1.0,3:16,1.0,10.0,MIA 30,0.0,7.0,"Gardner Minshew pass complete short left to Michael Mayer for no gain (tackle by Anthony Walker). Penalty on Jalen Ramsey: Defensive Holding, 5 yards (accepted) (no play)",3.58,3.91,11.0,2024,157
