Unnamed: 0,HOU,DAL,week,year,game_id
First Downs,21,24,11.0,2024,166
Rush-Yds-TDs,25-141-3,18-64-0,11.0,2024,166
Cmp-Att-Yd-TD-INT,23-34-257-0-1,33-56-358-1-1,11.0,2024,166
Sacked-Yards,1-7,5-34,11.0,2024,166
Net Pass Yards,250,324,11.0,2024,166
Total Yards,391,388,11.0,2024,166
Fumbles-Lost,0-0,3-1,11.0,2024,166
Turnovers,1,2,11.0,2024,166
Penalties-Yards,9-69,9-66,11.0,2024,166
Third Down Conv.,4-12,5-15,11.0,2024,166
Fourth Down Conv.,1-2,0-4,11.0,2024,166
Time of Possession,30:37,29:23,11.0,2024,166
