Unnamed: 0,KAN,BUF,week,year,game_id
First Downs,19,24,11.0,2024,164
Rush-Yds-TDs,17-78-0,31-104-3,11.0,2024,164
Cmp-Att-Yd-TD-INT,23-33-196-3-2,27-40-262-1-1,11.0,2024,164
Sacked-Yards,2-15,0-0,11.0,2024,164
Net Pass Yards,181,262,11.0,2024,164
Total Yards,259,366,11.0,2024,164
Fumbles-Lost,0-0,0-0,11.0,2024,164
Turnovers,2,1,11.0,2024,164
Penalties-Yards,6-57,3-24,11.0,2024,164
Third Down Conv.,5-10,9-15,11.0,2024,164
Fourth Down Conv.,0-1,1-2,11.0,2024,164
Time of Possession,25:57,34:03,11.0,2024,164
