Unnamed: 0,MIN,TEN,week,year,game_id
First Downs,24,11,11.0,2024,158
Rush-Yds-TDs,33-82-1,19-33-0,11.0,2024,158
Cmp-Att-Yd-TD-INT,20-32-246-2-0,17-31-295-1-1,11.0,2024,158
Sacked-Yards,2-10,5-34,11.0,2024,158
Net Pass Yards,236,261,11.0,2024,158
Total Yards,318,294,11.0,2024,158
Fumbles-Lost,2-1,0-0,11.0,2024,158
Turnovers,1,1,11.0,2024,158
Penalties-Yards,3-35,13-91,11.0,2024,158
Third Down Conv.,5-14,6-15,11.0,2024,158
Fourth Down Conv.,0-0,0-2,11.0,2024,158
Time of Possession,32:31,27:29,11.0,2024,158
