Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Eagles,9.0,17.0,1.16,15.84,0.0,2.93,-5.21,7.74,3.46,-9.28,-5.63,4.41,1.77,-2.12,-7.71,11.0,2024,153
Commanders,-9.0,-2.93,5.21,-7.74,-3.46,-17.0,-1.16,-15.84,0.0,9.28,-4.41,5.63,2.12,-1.77,7.71,11.0,2024,153
