Quarter,Time,Tm,Detail,JAX,DET,week,year,game_id
1.0,9:36,Jaguars,Cam Little 59 yard field goal,3,0,11.0,2024,156
,4:59,Lions,David Montgomery 2 yard rush (Jake Bates kick),3,7,11.0,2024,156
2.0,12:26,Lions,Jahmyr Gibbs 1 yard rush (Jake Bates kick),3,14,11.0,2024,156
,6:39,Lions,David Montgomery 6 yard rush (Jake Bates kick),3,21,11.0,2024,156
,2:46,Lions,Amon-Ra St. Brown 27 yard pass from Jared Goff (Jake Bates kick),3,28,11.0,2024,156
,0:00,Jaguars,Cam Little 35 yard field goal,6,28,11.0,2024,156
3.0,12:55,Lions,Jameson Williams 64 yard pass from Jared Goff (Jake Bates kick),6,35,11.0,2024,156
,4:16,Lions,Brock Wright 5 yard pass from Jared Goff (Jake Bates kick),6,42,11.0,2024,156
4.0,13:23,Lions,Amon-Ra St. Brown 9 yard pass from Jared Goff (Jake Bates kick),6,49,11.0,2024,156
,7:49,Lions,Jake Bates 54 yard field goal,6,52,11.0,2024,156
