Quarter,Time,Down,ToGo,Location,SEA,SFO,Detail,EPB,EPA,week,year,game_id
2.0,0:43,3.0,12.0,SEA 40,6.0,7.0,Geno Smith pass complete short middle to AJ Barner for 9 yards (tackle by De'Vondre Campbell and Fred Warner),0.23,-0.13,11.0,2024,162
2.0,0:34,4.0,3.0,SEA 49,6.0,7.0,"Penalty on Deommodore Lenoir: Unnecessary Roughness / Defense, 15 yards (offset) Penalty on Kenneth Walker: Unnecessary Roughness / Offense, 15 yards (offset) (no play)",-0.13,-0.13,11.0,2024,162
2.0,0:34,4.0,3.0,SEA 49,6.0,7.0,"Penalty on Geno Smith: Delay of Game, 5 yards (accepted) (no play)",-0.13,-0.46,11.0,2024,162
2.0,0:34,4.0,8.0,SEA 44,6.0,7.0,"Michael Dickson punts 44 yards, returned by Jacob Cowing for 12 yards (tackle by Julian Love)",-0.46,-0.54,11.0,2024,162
2.0,0:24,1.0,10.0,SFO 24,6.0,7.0,"Brock Purdy pass incomplete deep left intended for Jauan Jennings. Penalty on Boye Mafe: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.54,0.87,11.0,2024,162
2.0,0:19,1.0,10.0,SFO 29,6.0,7.0,Brock Purdy pass incomplete short middle intended for Ricky Pearsall (defended by Devon Witherspoon),0.87,0.33,11.0,2024,162
2.0,0:14,2.0,10.0,SFO 29,6.0,7.0,Christian McCaffrey up the middle for 11 yards (tackle by Coby Bryant and Leonard Williams),0.33,1.6,11.0,2024,162
2.0,0:06,,,,,,Timeout #3 by San Francisco 49ers,,,11.0,2024,162
2.0,0:06,,,,,,Timeout #2 by Seattle Seahawks,,,11.0,2024,162
2.0,0:06,1.0,10.0,SFO 40,6.0,7.0,Brock Purdy pass complete short left to Deebo Samuel for 11 yards (tackle by Devon Witherspoon),1.6,2.32,11.0,2024,162
3.0,15:00,,,SFO 35,6.0,7.0,"Jake Moody kicks off 65 yards, returned by Kenny McIntosh for 15 yards (tackle by Brayden Willis)",0.0,-0.22,11.0,2024,162
3.0,14:54,1.0,10.0,SEA 15,6.0,7.0,Kenneth Walker right end for 2 yards (tackle by Ji'Ayir Brown and Renardo Green),-0.22,-0.44,11.0,2024,162
3.0,14:14,2.0,8.0,SEA 17,6.0,7.0,Geno Smith pass incomplete short middle intended for AJ Barner,-0.44,-1.12,11.0,2024,162
3.0,14:09,3.0,8.0,SEA 17,6.0,7.0,Geno Smith pass deep left intended for Jaxon Smith-Njigba is intercepted by Isaac Yiadom at SEA-38 and returned for 11 yards (tackle by Jaxon Smith-Njigba),-1.12,-3.78,11.0,2024,162
3.0,13:57,1.0,10.0,SEA 27,6.0,7.0,Christian McCaffrey left end for 9 yards (tackle by Leonard Williams and Tyrice Knight),3.78,4.53,11.0,2024,162
3.0,13:17,2.0,1.0,SEA 18,6.0,7.0,Brock Purdy pass incomplete short left intended for Deebo Samuel,4.53,3.84,11.0,2024,162
3.0,13:13,3.0,1.0,SEA 18,6.0,7.0,Christian McCaffrey right tackle for 2 yards (tackle by Ernest Jones and Coby Bryant),3.84,4.51,11.0,2024,162
