Unnamed: 0,WAS,PHI,week,year,game_id
First Downs,18,23,11.0,2024,153
Rush-Yds-TDs,28-93-1,40-228-3,11.0,2024,153
Cmp-Att-Yd-TD-INT,22-32-191-1-1,18-28-221-0-0,11.0,2024,153
Sacked-Yards,3-20,2-15,11.0,2024,153
Net Pass Yards,171,206,11.0,2024,153
Total Yards,264,434,11.0,2024,153
Fumbles-Lost,1-0,1-0,11.0,2024,153
Turnovers,1,0,11.0,2024,153
Penalties-Yards,4-25,4-49,11.0,2024,153
Third Down Conv.,3-12,9-16,11.0,2024,153
Fourth Down Conv.,1-2,0-0,11.0,2024,153
Time of Possession,26:56,33:04,11.0,2024,153
