Unnamed: 0,CIN,LAC,week,year,game_id
First Downs,24,24,11.0,2024,165
Rush-Yds-TDs,25-110-0,25-155-2,11.0,2024,165
Cmp-Att-Yd-TD-INT,28-50-356-3-0,17-36-297-2-0,11.0,2024,165
Sacked-Yards,3-14,2-17,11.0,2024,165
Net Pass Yards,342,280,11.0,2024,165
Total Yards,452,435,11.0,2024,165
Fumbles-Lost,0-0,1-1,11.0,2024,165
Turnovers,0,1,11.0,2024,165
Penalties-Yards,8-56,5-50,11.0,2024,165
Third Down Conv.,5-17,3-11,11.0,2024,165
Fourth Down Conv.,3-3,1-1,11.0,2024,165
Time of Possession,34:08,25:52,11.0,2024,165
