Quarter,Time,Down,ToGo,Location,CLE,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Browns to receive the opening kickoff.",,,11.0,2024,155
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,155
1.0,15:00,1.0,10.0,CLE 30,0.0,0.0,Nick Chubb right tackle for 6 yards (tackle by Khalen Saunders and Nathan Shepherd),0.94,1.2,11.0,2024,155
1.0,14:26,2.0,4.0,CLE 36,0.0,0.0,Nick Chubb right end for 6 yards (tackle by Alontae Taylor),1.2,1.73,11.0,2024,155
1.0,13:54,1.0,10.0,CLE 42,0.0,0.0,Jameis Winston pass incomplete short right intended for Jerry Jeudy,1.73,1.19,11.0,2024,155
1.0,13:50,2.0,10.0,CLE 42,0.0,0.0,Nick Chubb right tackle for 1 yard (tackle by Carl Granderson),1.19,0.63,11.0,2024,155
1.0,13:13,3.0,9.0,CLE 43,0.0,0.0,Jameis Winston pass complete short left to Elijah Moore for 8 yards (tackle by Jordan Howden),0.63,0.0,11.0,2024,155
1.0,12:33,4.0,1.0,NOR 49,0.0,0.0,Nick Chubb left guard for -2 yards (tackle by Demario Davis),0.0,-2.32,11.0,2024,155
1.0,12:28,1.0,10.0,CLE 49,0.0,0.0,Derek Carr pass incomplete short right intended for Taysom Hill,2.32,1.78,11.0,2024,155
1.0,12:23,2.0,10.0,CLE 49,0.0,0.0,Alvin Kamara right tackle for 13 yards (tackle by Juan Thornhill and Martin Emerson),1.78,3.18,11.0,2024,155
1.0,11:48,1.0,10.0,CLE 36,0.0,0.0,Alvin Kamara right end for 5 yards (tackle by Juan Thornhill and Jordan Hicks),3.18,3.31,11.0,2024,155
1.0,11:15,2.0,5.0,CLE 31,0.0,0.0,Taysom Hill pass complete deep right to Kevin Austin for 18 yards (tackle by Denzel Ward),3.31,4.71,11.0,2024,155
1.0,10:33,1.0,10.0,CLE 13,0.0,0.0,Derek Carr pass complete short right to Taysom Hill for 3 yards (tackle by Grant Delpit),4.71,4.58,11.0,2024,155
1.0,10:00,2.0,7.0,CLE 10,0.0,6.0,"Taysom Hill right end for 10 yards, touchdown",4.58,7.0,11.0,2024,155
1.0,9:54,,,CLE 15,0.0,7.0,Blake Grupe kicks extra point good,0.0,0.0,11.0,2024,155
1.0,9:54,,,NOR 35,0.0,7.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,155
1.0,9:54,1.0,10.0,CLE 30,0.0,7.0,"Jameis Winston pass incomplete deep right intended for David Njoku. Penalty on Will Harris: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.94,1.93,11.0,2024,155
1.0,9:49,1.0,10.0,CLE 45,0.0,7.0,Nick Chubb left guard for 3 yards (tackle by John Ridgeway),1.93,1.79,11.0,2024,155
