Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Ravens to receive the opening kickoff.",,,11.0,2024,159
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 62 yards, returned by Keaton Mitchell for 26 yards (tackle by Mark Robinson)",0.0,0.87,11.0,2024,159
1.0,14:55,1.0,10.0,BAL 29,0.0,0.0,Derrick Henry up the middle for 3 yards (tackle by Keeanu Benton),0.87,0.73,11.0,2024,159
1.0,14:18,2.0,7.0,BAL 32,0.0,0.0,"Derrick Henry right tackle for 4 yards. Derrick Henry fumbles (forced by Nick Herbig), recovered by DeShon Elliott at BAL-42",0.73,-2.79,11.0,2024,159
1.0,14:11,1.0,10.0,BAL 42,0.0,0.0,Russell Wilson pass complete short left to Najee Harris for 7 yards (tackle by Brandon Stephens and Roquan Smith),2.79,3.19,11.0,2024,159
1.0,13:32,2.0,3.0,BAL 35,0.0,0.0,Najee Harris right tackle for 4 yards (tackle by Odafe Oweh),3.19,3.51,11.0,2024,159
1.0,12:51,1.0,10.0,BAL 31,0.0,0.0,Russell Wilson pass complete short left to George Pickens for 4 yards (tackle by Roquan Smith),3.51,3.51,11.0,2024,159
1.0,12:15,2.0,6.0,BAL 27,0.0,0.0,Najee Harris left guard for 11 yards (tackle by Kyle Hamilton),3.51,4.51,11.0,2024,159
1.0,11:32,1.0,10.0,BAL 16,0.0,0.0,Russell Wilson pass complete short left to George Pickens for 2 yards (tackle by Kyle Hamilton),4.51,4.21,11.0,2024,159
1.0,10:56,2.0,8.0,BAL 14,0.0,0.0,Russell Wilson pass incomplete short right,4.21,3.37,11.0,2024,159
1.0,10:50,3.0,8.0,BAL 14,0.0,0.0,Russell Wilson pass incomplete short left,3.37,2.51,11.0,2024,159
1.0,10:43,4.0,8.0,BAL 14,0.0,3.0,Chris Boswell 32 yard field goal good,2.51,3.0,11.0,2024,159
1.0,10:40,,,PIT 35,0.0,3.0,"Chris Boswell kicks off 65 yards, returned by Justice Hill for 30 yards (tackle by Tyler Matakevich)",0.0,0.94,11.0,2024,159
1.0,10:34,1.0,10.0,BAL 30,0.0,3.0,Lamar Jackson pass complete short right to Justice Hill for 1 yard (tackle by T.J. Watt),0.94,0.53,11.0,2024,159
1.0,10:00,2.0,9.0,BAL 31,0.0,3.0,"Derrick Henry left guard for no gain (tackle by Minkah Fitzpatrick). Penalty on Ronnie Stanley: Offensive Holding, 10 yards (accepted) (no play)",0.53,-0.82,11.0,2024,159
1.0,9:39,2.0,19.0,BAL 21,0.0,3.0,Justice Hill left end for 9 yards (tackle by Patrick Queen and DeShon Elliott),-0.82,-0.3,11.0,2024,159
1.0,8:56,3.0,10.0,BAL 30,0.0,3.0,Lamar Jackson pass incomplete deep right intended for Diontae Johnson,-0.3,-1.37,11.0,2024,159
1.0,8:48,4.0,10.0,BAL 30,0.0,3.0,"Jordan Stout punts 70 yards, touchback.",-1.37,-0.28,11.0,2024,159
1.0,8:39,1.0,10.0,PIT 20,0.0,3.0,Najee Harris left tackle for 4 yards (tackle by Malik Harrison and Ar'Darius Washington),0.28,0.27,11.0,2024,159
1.0,8:01,2.0,6.0,PIT 24,0.0,3.0,Russell Wilson pass complete short left to Cordarrelle Patterson for no gain (tackle by Odafe Oweh and Brent Urban),0.27,-0.43,11.0,2024,159
1.0,7:20,3.0,6.0,PIT 24,0.0,3.0,"Penalty on Kyle Van Noy: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.43,0.23,11.0,2024,159
1.0,7:05,3.0,1.0,PIT 29,0.0,3.0,Russell Wilson pass incomplete deep left intended for Calvin Austin (defended by Brandon Stephens),0.23,-1.44,11.0,2024,159
