Unnamed: 0,SEA,SFO,week,year,game_id
First Downs,19,21,11.0,2024,162
Rush-Yds-TDs,23-94-2,27-131-1,11.0,2024,162
Cmp-Att-Yd-TD-INT,25-32-221-0-1,21-28-159-1-1,11.0,2024,162
Sacked-Yards,4-26,2-13,11.0,2024,162
Net Pass Yards,195,146,11.0,2024,162
Total Yards,289,277,11.0,2024,162
Fumbles-Lost,1-0,0-0,11.0,2024,162
Turnovers,1,1,11.0,2024,162
Penalties-Yards,4-20,9-54,11.0,2024,162
Third Down Conv.,6-13,7-11,11.0,2024,162
Fourth Down Conv.,1-2,0-0,11.0,2024,162
Time of Possession,26:35,33:25,11.0,2024,162
