Quarter,Time,Down,ToGo,Location,LAR,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Patriots to receive the opening kickoff.",,,11.0,2024,161
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 66 yards, returned by Javon Baker for 46 yards (tackle by Brennan Jackson)",0.0,1.93,11.0,2024,161
1.0,14:53,1.0,10.0,NWE 45,0.0,0.0,Drake Maye pass complete short right to Kendrick Bourne for 4 yards (tackle by Darious Williams),1.93,1.92,11.0,2024,161
1.0,14:21,2.0,6.0,NWE 49,0.0,0.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Bobby Brown and Jared Verse),1.92,1.36,11.0,2024,161
1.0,13:41,3.0,5.0,NWE 50,0.0,0.0,Drake Maye pass complete short right to Hunter Henry for 9 yards (tackle by Cobie Durant),1.36,2.85,11.0,2024,161
1.0,13:03,1.0,10.0,LAR 41,0.0,0.0,"Drake Maye pass incomplete short right. Penalty on Rhamondre Stevenson: Chop Block, 16 yards (accepted) (no play)",2.85,1.8,11.0,2024,161
1.0,12:57,1.0,26.0,NWE 43,0.0,0.0,Rhamondre Stevenson right guard for 12 yards (tackle by Quentin Lake),1.8,1.77,11.0,2024,161
1.0,12:23,2.0,14.0,LAR 45,0.0,0.0,Drake Maye pass complete short right to Austin Hooper for 1 yard (tackle by Kamren Kinchens),1.77,1.22,11.0,2024,161
1.0,11:45,3.0,13.0,LAR 44,0.0,0.0,Drake Maye pass incomplete short right intended for Kayshon Boutte,1.22,0.33,11.0,2024,161
1.0,11:41,4.0,13.0,LAR 44,0.0,0.0,"Bryce Baringer punts 32 yards, fair catch by Xavier Smith at LA-12",0.33,0.35,11.0,2024,161
1.0,11:33,1.0,10.0,LAR 12,0.0,0.0,Kyren Williams right end for 4 yards (tackle by Christian Elliss and Kyle Dugger),-0.35,-0.37,11.0,2024,161
1.0,10:54,2.0,6.0,LAR 16,0.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 37 yards (tackle by Jonathan Jones),-0.37,2.46,11.0,2024,161
1.0,10:12,1.0,10.0,NWE 47,0.0,0.0,Kyren Williams left tackle for 1 yard (tackle by Keion White and Davon Godchaux),2.46,2.05,11.0,2024,161
1.0,9:34,2.0,9.0,NWE 46,0.0,0.0,Kyren Williams right guard for 3 yards (tackle by Daniel Ekuale),2.05,1.75,11.0,2024,161
1.0,8:50,3.0,6.0,NWE 43,0.0,0.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,1.75,0.4,11.0,2024,161
1.0,8:46,4.0,6.0,NWE 43,0.0,0.0,Ethan Evans punts 20 yards out of bounds,0.4,-0.48,11.0,2024,161
1.0,8:39,1.0,10.0,NWE 23,0.0,0.0,Drake Maye pass complete short left to Demario Douglas for 14 yards (tackle by Kamren Kinchens),0.48,1.4,11.0,2024,161
1.0,8:02,1.0,10.0,NWE 37,0.0,0.0,Drake Maye pass incomplete deep left intended for Kayshon Boutte (defended by Cobie Durant),1.4,0.86,11.0,2024,161
1.0,7:56,2.0,10.0,NWE 37,0.0,0.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Christian Rozeboom and Quentin Lake),0.86,0.56,11.0,2024,161
1.0,7:13,3.0,7.0,NWE 40,0.0,0.0,Drake Maye pass complete short left to Demario Douglas for 28 yards (tackle by Michael Hoecht),0.56,3.45,11.0,2024,161
1.0,6:33,1.0,10.0,LAR 32,0.0,0.0,Drake Maye pass complete short left to Austin Hooper for 19 yards (tackle by Quentin Lake and Kamren Curl),3.45,4.71,11.0,2024,161
1.0,5:49,1.0,10.0,LAR 13,0.0,0.0,Rhamondre Stevenson right guard for 4 yards (tackle by Bobby Brown and Kobie Turner),4.71,4.77,11.0,2024,161
1.0,5:08,2.0,6.0,LAR 9,0.0,6.0,"Drake Maye pass complete short right to Kendrick Bourne for 9 yards, touchdown",4.77,7.0,11.0,2024,161
