Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Travis Etienne,JAX,12,27,0,1.0,19,1.6,8,0.7,0,,11.0,2024,156
D'Ernest Johnson,JAX,2,3,0,,2,1.0,1,0.5,0,,11.0,2024,156
Mac Jones,JAX,2,7,0,1.0,7,3.5,0,0.0,0,,11.0,2024,156
Brian Thomas,JAX,1,4,0,0.0,4,4.0,0,0.0,0,,11.0,2024,156
David Montgomery,DET,15,75,2,7.0,38,2.5,37,2.5,0,,11.0,2024,156
Jahmyr Gibbs,DET,11,69,1,3.0,35,3.2,34,3.1,2,5.5,11.0,2024,156
Sione Vaki,DET,5,9,0,,4,0.8,5,1.0,0,,11.0,2024,156
Jared Goff,DET,4,21,0,2.0,21,5.3,0,0.0,0,,11.0,2024,156
Hendon Hooker,DET,4,3,0,1.0,3,0.8,0,0.0,0,,11.0,2024,156
Craig Reynolds,DET,2,21,0,1.0,17,8.5,4,2.0,0,,11.0,2024,156
Amon-Ra St. Brown,DET,1,-4,0,0.0,-4,-4.0,0,0.0,0,,11.0,2024,156
Jameson Williams,DET,1,2,0,0.0,2,2.0,0,0.0,0,,11.0,2024,156
