Unnamed: 0,LVR,MIA,week,year,game_id
First Downs,22,25,11.0,2024,157
Rush-Yds-TDs,16-60-0,26-82-1,11.0,2024,157
Cmp-Att-Yd-TD-INT,30-43-282-2-1,28-36-288-3-0,11.0,2024,157
Sacked-Yards,3-14,2-17,11.0,2024,157
Net Pass Yards,268,271,11.0,2024,157
Total Yards,328,353,11.0,2024,157
Fumbles-Lost,0-0,1-0,11.0,2024,157
Turnovers,1,0,11.0,2024,157
Penalties-Yards,7-49,4-23,11.0,2024,157
Third Down Conv.,8-14,8-12,11.0,2024,157
Fourth Down Conv.,2-2,2-2,11.0,2024,157
Time of Possession,26:48,33:12,11.0,2024,157
