Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,11.0,2024,156
1.0,15:00,,,DET 35,0.0,0.0,"Jake Bates kicks off 63 yards, returned by Devin Duvernay for 29 yards (tackle by Zeke Turner and Pat O'Connor)",0.0,1.0,11.0,2024,156
1.0,14:55,1.0,10.0,JAX 31,0.0,0.0,Brian Thomas right end for 4 yards (tackle by Alex Anzalone and Jack Campbell),1.0,1.0,11.0,2024,156
1.0,14:16,2.0,6.0,JAX 35,0.0,0.0,Mac Jones pass complete short left to Evan Engram for 4 yards (tackle by Alex Anzalone),1.0,0.83,11.0,2024,156
1.0,13:35,3.0,2.0,JAX 39,0.0,0.0,Mac Jones pass complete short right to Evan Engram for 3 yards (tackle by Brian Branch),0.83,1.73,11.0,2024,156
1.0,12:59,1.0,10.0,JAX 42,0.0,0.0,Travis Etienne right end for 5 yards (tackle by D.J. Reader and Jack Campbell),1.73,1.86,11.0,2024,156
1.0,12:20,2.0,5.0,JAX 47,0.0,0.0,Mac Jones pass complete short right to Brenton Strange for 6 yards (tackle by Alex Anzalone and Brian Branch),1.86,2.46,11.0,2024,156
1.0,11:44,1.0,10.0,DET 47,0.0,0.0,Mac Jones pass complete short left to Brian Thomas for 2 yards (tackle by Terrion Arnold and Jack Campbell),2.46,2.18,11.0,2024,156
1.0,11:06,2.0,8.0,DET 45,0.0,0.0,D'Ernest Johnson right tackle for no gain (tackle by Malcolm Rodriguez),2.18,1.49,11.0,2024,156
1.0,10:22,3.0,8.0,DET 45,0.0,0.0,Mac Jones scrambles up the middle for 5 yards (tackle by Amik Robertson),1.49,0.59,11.0,2024,156
1.0,9:39,4.0,3.0,DET 40,3.0,0.0,Cam Little 59 yard field goal good,0.59,3.0,11.0,2024,156
1.0,9:36,,,JAX 35,3.0,0.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,156
1.0,9:36,1.0,10.0,DET 30,3.0,0.0,Jared Goff pass complete short right to Shane Zylstra for 22 yards (tackle by Andre Cisco),0.94,2.39,11.0,2024,156
1.0,8:53,1.0,10.0,JAX 48,3.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Ronald Darby),2.39,2.66,11.0,2024,156
1.0,8:21,2.0,4.0,JAX 42,3.0,0.0,David Montgomery left end for 5 yards (tackle by Tyson Campbell),2.66,3.12,11.0,2024,156
1.0,7:42,1.0,10.0,JAX 37,3.0,0.0,David Montgomery left tackle for 9 yards (tackle by Andre Cisco and Ventrell Miller),3.12,3.79,11.0,2024,156
1.0,7:14,2.0,1.0,JAX 28,3.0,0.0,Jared Goff pass complete short middle to David Montgomery for 5 yards (tackle by Ventrell Miller),3.79,4.04,11.0,2024,156
1.0,6:40,1.0,10.0,JAX 23,3.0,0.0,"Jahmyr Gibbs right tackle for no gain (tackle by Devin Lloyd). Penalty on Arik Armstead: Defensive Offside, 5 yards (accepted) (no play)",4.04,4.86,11.0,2024,156
1.0,6:16,1.0,5.0,JAX 18,3.0,0.0,Jared Goff pass incomplete short middle,4.86,4.21,11.0,2024,156
1.0,6:10,2.0,5.0,JAX 18,3.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 11 yards (tackle by Foyesade Oluokun),4.21,5.6,11.0,2024,156
1.0,5:31,1.0,7.0,JAX 7,3.0,0.0,David Montgomery up the middle for 5 yards (tackle by Jeremiah Ledbetter and Darnell Savage),5.6,5.72,11.0,2024,156
1.0,5:02,2.0,2.0,JAX 2,3.0,6.0,"David Montgomery up the middle for 2 yards, touchdown",5.72,7.0,11.0,2024,156
1.0,4:59,,,JAX 15,3.0,7.0,Jake Bates kicks extra point good,0.0,0.0,11.0,2024,156
1.0,4:59,,,DET 35,3.0,7.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,156
1.0,4:59,1.0,10.0,JAX 30,3.0,7.0,Mac Jones pass complete short left to Evan Engram for 9 yards (tackle by Brian Branch),0.94,1.61,11.0,2024,156
1.0,4:20,2.0,1.0,JAX 39,3.0,7.0,Travis Etienne right end for no gain (tackle by Kerby Joseph),1.61,0.89,11.0,2024,156
1.0,3:42,3.0,1.0,JAX 39,3.0,7.0,Travis Etienne right tackle for -1 yards (tackle by Alex Anzalone and Josh Paschal),0.89,-0.85,11.0,2024,156
1.0,3:01,4.0,2.0,JAX 38,3.0,7.0,"Logan Cooke punts 55 yards, returned by Kalif Raymond for no gain (tackle by Daniel Thomas)",-0.85,0.38,11.0,2024,156
1.0,2:53,1.0,10.0,DET 7,3.0,7.0,Jared Goff pass complete short right to Tim Patrick for 4 yards (tackle by Foyesade Oluokun),-0.38,-0.49,11.0,2024,156
1.0,2:29,2.0,6.0,DET 11,3.0,7.0,Jahmyr Gibbs right end for 3 yards (tackle by Travon Walker),-0.49,-0.6,11.0,2024,156
1.0,1:52,3.0,3.0,DET 14,3.0,7.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Ronald Darby),-0.6,0.15,11.0,2024,156
1.0,1:22,1.0,10.0,DET 19,3.0,7.0,Jared Goff pass incomplete short right,0.15,-0.39,11.0,2024,156
1.0,1:18,2.0,10.0,DET 19,3.0,7.0,Jared Goff pass complete deep right to Amon-Ra St. Brown for 18 yards (tackle by Ronald Darby),-0.39,1.4,11.0,2024,156
1.0,0:44,1.0,10.0,DET 37,3.0,7.0,Jahmyr Gibbs right end for 1 yard (tackle by Foyesade Oluokun),1.4,0.99,11.0,2024,156
1.0,0:15,2.0,9.0,DET 38,3.0,7.0,Jahmyr Gibbs up the middle for 8 yards (tackle by Devin Lloyd and Tyson Campbell),0.99,1.36,11.0,2024,156
2.0,15:00,3.0,1.0,DET 46,3.0,7.0,Jared Goff pass incomplete short left intended for Jameson Williams (defended by Ronald Darby),1.36,-0.32,11.0,2024,156
2.0,14:56,4.0,1.0,DET 46,3.0,7.0,Jared Goff up the middle for 3 yards (tackle by Foyesade Oluokun),-0.32,2.19,11.0,2024,156
2.0,14:27,1.0,10.0,DET 49,3.0,7.0,Jared Goff pass complete short left to Jameson Williams for 24 yards (tackle by Andre Cisco),2.19,3.78,11.0,2024,156
2.0,13:52,1.0,10.0,JAX 27,3.0,7.0,Jahmyr Gibbs left tackle for 23 yards (tackle by Darnell Savage),3.78,6.28,11.0,2024,156
2.0,13:12,1.0,4.0,JAX 4,3.0,7.0,Jahmyr Gibbs up the middle for 3 yards (tackle by Tyler Lacy and Montaric Brown),6.28,5.91,11.0,2024,156
