Quarter,Time,Down,ToGo,Location,ATL,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Broncos to receive the opening kickoff.",,,11.0,2024,163
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,163
1.0,15:00,1.0,10.0,DEN 30,0.0,0.0,Javonte Williams up the middle for 1 yard (tackle by Kaden Elliss),0.94,0.53,11.0,2024,163
1.0,14:30,2.0,9.0,DEN 31,0.0,0.0,Bo Nix pass incomplete short middle intended for Javonte Williams,0.53,-0.16,11.0,2024,163
1.0,14:25,3.0,9.0,DEN 31,0.0,0.0,Bo Nix pass complete short left to Courtland Sutton for 16 yards,-0.16,2.06,11.0,2024,163
1.0,13:52,1.0,10.0,DEN 47,0.0,0.0,Javonte Williams left guard for 10 yards (tackle by Kevin King),2.06,2.72,11.0,2024,163
1.0,13:13,1.0,10.0,ATL 43,0.0,0.0,Javonte Williams up the middle for 5 yards (tackle by Nathan Landman),2.72,2.85,11.0,2024,163
1.0,12:37,2.0,5.0,ATL 38,0.0,0.0,"Jaleel McLaughlin right end for no gain (tackle by Kevin King). Penalty on Lil'Jordan Humphrey: Offensive Holding, 10 yards (accepted) (no play)",2.85,1.5,11.0,2024,163
1.0,12:17,2.0,15.0,ATL 48,0.0,0.0,Bo Nix pass complete short middle to Devaughn Vele for 14 yards (tackle by Clark Phillips),1.5,2.68,11.0,2024,163
1.0,11:35,3.0,1.0,ATL 34,0.0,0.0,Michael Burton up the middle for 2 yards (tackle by Kentavius Street and Nathan Landman),2.68,3.45,11.0,2024,163
1.0,10:56,1.0,10.0,ATL 32,0.0,0.0,"Bo Nix pass complete short left to Devaughn Vele for 8 yards (tackle by Clark Phillips). Penalty on Richie Grant: Unnecessary Roughness / Defense, 12 yards (accepted)",3.45,4.78,11.0,2024,163
1.0,10:36,1.0,10.0,ATL 12,0.0,6.0,"Bo Nix pass complete short left to Nate Adkins for 12 yards, touchdown",4.78,7.0,11.0,2024,163
1.0,10:31,,,ATL 15,0.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,11.0,2024,163
1.0,10:31,,,DEN 35,0.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,163
1.0,10:31,1.0,10.0,ATL 30,0.0,7.0,Bijan Robinson right tackle for 2 yards (tackle by John Franklin-Myers),0.94,0.66,11.0,2024,163
1.0,9:54,2.0,8.0,ATL 32,0.0,7.0,Kirk Cousins pass complete short right to Bijan Robinson for 10 yards (tackle by Devon Key and Zach Allen),0.66,1.73,11.0,2024,163
1.0,9:12,1.0,10.0,ATL 42,0.0,7.0,Bijan Robinson left tackle for 9 yards (tackle by Ja'Quan McMillian),1.73,2.4,11.0,2024,163
1.0,8:31,2.0,1.0,DEN 49,0.0,7.0,Bijan Robinson left guard for no gain (tackle by D.J. Jones),2.4,1.69,11.0,2024,163
1.0,7:49,3.0,1.0,DEN 49,0.0,7.0,Bijan Robinson up the middle for 2 yards (tackle by Jonathon Cooper and Cody Barton),1.69,2.46,11.0,2024,163
1.0,7:07,1.0,10.0,DEN 47,0.0,7.0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 9 yards (tackle by P.J. Locke and Nik Bonitto),2.46,3.13,11.0,2024,163
1.0,6:30,2.0,1.0,DEN 38,0.0,7.0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 2 yards (tackle by Patrick Surtain),3.13,3.18,11.0,2024,163
1.0,5:48,1.0,10.0,DEN 36,0.0,7.0,Kirk Cousins pass complete short left to Ross Dwelley for 5 yards (tackle by Justin Strnad),3.18,3.31,11.0,2024,163
1.0,5:09,2.0,5.0,DEN 31,0.0,7.0,Kirk Cousins pass complete short middle to Drake London for 16 yards (tackle by Devon Key and Ja'Quan McMillian),3.31,4.58,11.0,2024,163
1.0,4:31,1.0,10.0,DEN 15,0.0,7.0,Bijan Robinson up the middle for 5 yards (tackle by Riley Moss),4.58,4.84,11.0,2024,163
1.0,3:58,2.0,5.0,DEN 10,0.0,7.0,"Bijan Robinson left tackle for no gain (tackle by Cody Barton). Penalty on Matthew Bergeron: Offensive Holding, 10 yards (accepted) (no play)",4.84,3.35,11.0,2024,163
1.0,3:31,2.0,15.0,DEN 20,0.0,7.0,"Kirk Cousins pass complete short middle to Drake London for no gain (tackle by Devon Key). Penalty on Drake London: Illegal Motion, 5 yards (accepted) (no play)",3.35,2.67,11.0,2024,163
1.0,3:06,2.0,20.0,DEN 25,0.0,7.0,Kirk Cousins pass complete short right to Tyler Allgeier for -1 yards (tackle by Justin Strnad and Ja'Quan McMillian),2.67,1.88,11.0,2024,163
1.0,2:26,3.0,21.0,DEN 26,0.0,7.0,Kirk Cousins pass complete short middle to Bijan Robinson for 4 yards (tackle by Nik Bonitto),1.88,1.99,11.0,2024,163
1.0,1:37,4.0,17.0,DEN 22,3.0,7.0,Younghoe Koo 41 yard field goal good,1.99,3.0,11.0,2024,163
1.0,1:33,,,ATL 35,3.0,7.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,163
1.0,1:33,1.0,10.0,DEN 30,3.0,7.0,Audric Estime up the middle for no gain (tackle by Kaden Elliss and Jessie Bates),0.94,0.39,11.0,2024,163
1.0,1:10,2.0,10.0,DEN 30,3.0,7.0,"Bo Nix pass complete short left to Audric Estime for -2 yards (tackle by Richie Grant). Penalty on Adam Trautman: Offensive Holding, 10 yards (declined)",0.39,-0.56,11.0,2024,163
1.0,1:06,3.0,12.0,DEN 28,3.0,7.0,Bo Nix pass complete short right to Javonte Williams for 2 yards (tackle by Richie Grant and Jessie Bates),-0.56,-1.37,11.0,2024,163
