Unnamed: 0,BAL,PIT,week,year,game_id
First Downs,16,18,11.0,2024,159
Rush-Yds-TDs,19-124-1,34-122-0,11.0,2024,159
Cmp-Att-Yd-TD-INT,16-33-207-1-1,23-36-205-0-1,11.0,2024,159
Sacked-Yards,2-2,4-24,11.0,2024,159
Net Pass Yards,205,181,11.0,2024,159
Total Yards,329,303,11.0,2024,159
Fumbles-Lost,2-2,0-0,11.0,2024,159
Turnovers,3,1,11.0,2024,159
Penalties-Yards,12-80,7-45,11.0,2024,159
Third Down Conv.,4-11,4-16,11.0,2024,159
Fourth Down Conv.,0-0,0-1,11.0,2024,159
Time of Possession,23:38,36:22,11.0,2024,159
