Quarter,Time,Down,ToGo,Location,CIN,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Bengals to receive the opening kickoff.",,,11.0,2024,165
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 66 yards, returned by Jermaine Burton for 36 yards (tackle by Cameron Dicker)",0.0,1.27,11.0,2024,165
1.0,14:54,1.0,10.0,CIN 35,0.0,0.0,Chase Brown up the middle for 5 yards (tackle by Otito Ogbonnia and Poona Ford),1.27,1.4,11.0,2024,165
1.0,14:20,2.0,5.0,CIN 40,0.0,0.0,"Joe Burrow pass complete short right to Jermaine Burton for 8 yards LAC challenged the runner was in bounds ruling, and the play was upheld.",1.4,2.13,11.0,2024,165
1.0,13:56,1.0,10.0,CIN 48,0.0,0.0,Chase Brown right tackle for 3 yards (tackle by Denzel Perryman),2.13,1.99,11.0,2024,165
1.0,13:25,2.0,7.0,LAC 49,0.0,0.0,Joe Burrow pass complete short right to Chase Brown for 1 yard (tackle by Cam Hart),1.99,1.42,11.0,2024,165
1.0,12:46,3.0,6.0,LAC 48,0.0,0.0,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Cam Hart),1.42,0.07,11.0,2024,165
1.0,12:38,4.0,6.0,LAC 48,0.0,0.0,"Ryan Rehkow punts 38 yards, fair catch by Derius Davis at LAC-10",0.07,0.38,11.0,2024,165
1.0,12:31,1.0,10.0,LAC 10,0.0,0.0,Gus Edwards left end for 8 yards (tackle by Vonn Bell),-0.38,0.07,11.0,2024,165
1.0,11:49,2.0,2.0,LAC 18,0.0,0.0,J.K. Dobbins right guard for no gain (tackle by Kris Jenkins and Germaine Pratt),0.07,-0.48,11.0,2024,165
1.0,11:08,3.0,2.0,LAC 18,0.0,0.0,Gus Edwards right end for no gain (tackle by Trey Hendrickson and B.J. Hill),-0.48,-2.24,11.0,2024,165
1.0,10:32,4.0,2.0,LAC 18,0.0,0.0,"JK Scott punts 53 yards, returned by Trenton Irwin for 7 yards (tackle by Ja'Sir Taylor and Troy Dye)",-2.24,-1.33,11.0,2024,165
1.0,10:17,1.0,10.0,CIN 36,0.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 32 yards (tackle by Elijah Molden),1.33,3.45,11.0,2024,165
1.0,9:43,1.0,10.0,LAC 32,0.0,0.0,"Chase Brown up the middle for 5 yards (tackle by Derwin James). Penalty on Derwin James: Horse Collar Tackle, 14 yards (accepted)",3.45,4.71,11.0,2024,165
1.0,9:23,1.0,10.0,LAC 13,0.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards (tackle by Denzel Perryman),4.71,4.96,11.0,2024,165
1.0,8:47,2.0,5.0,LAC 8,0.0,0.0,Chase Brown up the middle for 4 yards (tackle by Otito Ogbonnia and Daiyan Henley),4.96,5.01,11.0,2024,165
