Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles,Unnamed: 28_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Jordyn Brooks,28.0,MIA,LB,1.0,1.0,0.0,1.0,1.0,100.0,5.0,5.0,5.0,0.0,87.5,3.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,
2.0,Tyrel Dodson,27.0,MIA,LB,1.0,1.0,0.0,3.0,3.0,100.0,14.0,4.7,4.7,0.0,86.1,1.0,3.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,13.3,
3.0,Jordan Battle,25.0,CIN,S,1.0,1.0,1.0,5.0,4.0,80.0,59.0,14.8,11.8,0.0,76.2,13.8,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,14.3,
4.0,Edgerrin Cooper,24.0,GNB,LB,1.0,1.0,0.0,8.0,8.0,100.0,29.0,3.6,3.6,0.0,81.8,1.5,12.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,
5.0,Tre'von Moehrig,26.0,CAR,S,1.0,1.0,0.0,3.0,3.0,100.0,35.0,11.7,11.7,0.0,115.3,8.0,24.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,
6.0,Budda Baker,29.0,ARI,S,1.0,1.0,0.0,0.0,0.0,,12.0,,,0.0,,,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,
7.0,Kamren Curl,26.0,LAR,S,1.0,1.0,0.0,2.0,2.0,100.0,64.0,32.0,32.0,0.0,118.7,23.5,47.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,
8.0,Nathan Landman,27.0,LAR,LB,1.0,1.0,0.0,0.0,0.0,,28.0,,,0.0,,,10.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,
9.0,Julian Love,27.0,SEA,FS,1.0,1.0,0.0,1.0,1.0,100.0,25.0,25.0,25.0,0.0,118.7,22.0,22.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,
10.0,Foyesade Oluokun,30.0,JAX,LB,1.0,1.0,1.0,3.0,1.0,33.3,29.0,29.0,9.7,0.0,30.6,5.7,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,
11.0,Roquan Smith,28.0,BAL,LB,1.0,1.0,0.0,6.0,5.0,83.3,28.0,5.6,4.7,0.0,86.1,3.7,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,23.1,
12.0,Zack Baun,29.0,PHI,LB,1.0,1.0,0.0,5.0,4.0,80.0,27.0,6.8,5.4,0.0,89.2,7.4,17.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,18.2,
13.0,Jack Campbell,25.0,DET,LB,1.0,1.0,0.0,2.0,1.0,50.0,17.0,17.0,8.5,1.0,118.7,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,
14.0,Lavonte David,35.0,TAM,LB,1.0,1.0,0.0,0.0,0.0,,17.0,,,0.0,,,5.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,
15.0,Demario Davis,36.0,NOR,LB,1.0,1.0,0.0,3.0,3.0,100.0,7.0,2.3,2.3,1.0,118.7,-2.3,-7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,10.0,
16.0,Minkah Fitzpatrick,29.0,MIA,S,1.0,1.0,0.0,3.0,1.0,33.3,21.0,21.0,7.0,0.0,59.0,11.3,20.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,
17.0,Kyle Hamilton,24.0,BAL,S,1.0,1.0,0.0,8.0,5.0,62.5,40.0,8.0,5.0,1.0,114.6,10.6,22.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,10.0,
18.0,Malik Hooker,29.0,DAL,S,1.0,1.0,0.0,2.0,2.0,100.0,13.0,6.5,6.5,0.0,93.7,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,
19.0,Kenneth Murray,27.0,DAL,MLB,1.0,1.0,0.0,4.0,4.0,100.0,22.0,5.5,5.5,0.0,89.6,2.0,8.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,10.0,
20.0,Pete Werner,26.0,NOR,LB,1.0,1.0,0.0,3.0,2.0,66.7,39.0,19.5,13.0,0.0,109.7,5.0,10.0,29.0,2.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,10.0,
21.0,Byron Young,27.0,LAR,OLB,1.0,1.0,0.0,0.0,0.0,,6.0,,,0.0,,,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,
22.0,Coby Bryant,26.0,SEA,FS,1.0,1.0,0.0,3.0,3.0,100.0,43.0,14.3,14.3,0.0,118.7,13.3,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,11.1,
23.0,Chuck Clark,30.0,PIT,S,1.0,0.0,0.0,1.0,1.0,100.0,12.0,12.0,12.0,0.0,116.7,11.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,
24.0,Daiyan Henley,26.0,LAC,LB,1.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,
25.0,Alex Highsmith,28.0,PIT,LB,1.0,1.0,0.0,1.0,1.0,100.0,20.0,20.0,20.0,0.0,118.7,18.0,18.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,8.0,1.0,11.1,
26.0,Ernest Jones,26.0,SEA,LB,1.0,1.0,1.0,7.0,5.0,71.4,35.0,7.0,5.0,0.0,42.9,3.7,4.0,31.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,2.0,20.0,
27.0,Jack Jones,28.0,MIA,CB,1.0,1.0,0.0,5.0,3.0,60.0,48.0,16.0,9.6,0.0,92.1,2.2,17.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,11.1,
28.0,Patrick Queen,26.0,PIT,LB,1.0,1.0,0.0,3.0,3.0,100.0,16.0,5.3,5.3,0.0,88.9,2.7,8.0,8.0,3.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,11.1,
