Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles,Unnamed: 28_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Bobby Okereke,29.0,NYG,LB,1.0,1.0,0.0,5.0,5.0,100.0,53.0,10.6,10.6,0.0,110.8,1.0,5.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,5.9,
2.0,Jordyn Brooks,28.0,MIA,LB,1.0,1.0,0.0,1.0,1.0,100.0,5.0,5.0,5.0,0.0,87.5,3.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,
3.0,Tyrel Dodson,27.0,MIA,LB,1.0,1.0,0.0,3.0,3.0,100.0,14.0,4.7,4.7,0.0,86.1,1.0,3.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,13.3,
4.0,Jordan Battle,25.0,CIN,S,1.0,1.0,1.0,5.0,4.0,80.0,59.0,14.8,11.8,0.0,76.2,13.8,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,14.3,
5.0,Edgerrin Cooper,24.0,GNB,LB,1.0,1.0,0.0,8.0,8.0,100.0,29.0,3.6,3.6,0.0,81.8,1.5,12.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,
6.0,Tre'von Moehrig,26.0,CAR,S,1.0,1.0,0.0,3.0,3.0,100.0,35.0,11.7,11.7,0.0,115.3,8.0,24.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,
7.0,Devin White,27.0,LVR,LB,1.0,1.0,0.0,4.0,2.0,50.0,14.0,7.0,3.5,0.0,58.3,4.5,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,
8.0,Budda Baker,29.0,ARI,S,1.0,1.0,0.0,0.0,0.0,,12.0,,,0.0,,,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,
9.0,Chamarri Conner,25.0,KAN,DB,1.0,1.0,0.0,5.0,5.0,100.0,58.0,11.6,11.6,0.0,115.0,10.2,51.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,28.6,
10.0,Kamren Curl,26.0,LAR,S,1.0,1.0,0.0,2.0,2.0,100.0,64.0,32.0,32.0,0.0,118.7,23.5,47.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,
