Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1.0,Chicago Bears,17.0,388.0,1468.0,8.0,3.8,86.4,25.81
2.0,Detroit Lions,17.0,408.0,1509.0,15.0,3.7,88.8,9.7
3.0,San Francisco 49ers,17.0,369.0,1525.0,10.0,4.1,89.7,-4.82
4.0,New England Patriots,17.0,480.0,1584.0,14.0,3.3,93.2,62.77
5.0,Tampa Bay Buccaneers,17.0,422.0,1620.0,11.0,3.8,95.3,31.56
6.0,Houston Texans,17.0,468.0,1643.0,19.0,3.5,96.6,22.94
7.0,Miami Dolphins,17.0,433.0,1650.0,15.0,3.8,97.1,16.04
8.0,Minnesota Vikings,17.0,446.0,1678.0,14.0,3.8,98.7,17.31
9.0,Jacksonville Jaguars,17.0,421.0,1752.0,15.0,4.2,103.1,-9.24
10.0,Philadelphia Eagles,17.0,410.0,1758.0,13.0,4.3,103.4,-31.41
11.0,Cleveland Browns,17.0,420.0,1793.0,15.0,4.3,105.5,30.82
12.0,Los Angeles Rams,17.0,433.0,1816.0,14.0,4.2,106.8,4.42
13.0,Tennessee Titans,17.0,480.0,1831.0,10.0,3.8,107.7,31.53
14.0,Baltimore Ravens,17.0,415.0,1860.0,6.0,4.5,109.4,23.36
15.0,Buffalo Bills,17.0,409.0,1880.0,14.0,4.6,110.6,-4.93
16.0,Dallas Cowboys,17.0,459.0,1910.0,14.0,4.2,112.4,9.56
17.0,Los Angeles Chargers,17.0,467.0,1924.0,18.0,4.1,113.2,-7.24
18.0,Kansas City Chiefs,17.0,432.0,1925.0,10.0,4.5,113.2,-20.6
19.0,Pittsburgh Steelers,17.0,454.0,1956.0,9.0,4.3,115.1,5.25
20.0,Atlanta Falcons,17.0,499.0,2009.0,11.0,4.0,118.2,46.27
21.0,Las Vegas Raiders,17.0,479.0,2015.0,15.0,4.2,118.5,12.66
22.0,New Orleans Saints,17.0,462.0,2038.0,10.0,4.4,119.9,23.07
23.0,Carolina Panthers,17.0,508.0,2081.0,25.0,4.1,122.4,-8.41
24.0,Indianapolis Colts,17.0,518.0,2105.0,22.0,4.1,123.8,-11.95
25.0,New York Jets,17.0,517.0,2108.0,14.0,4.1,124.0,20.74
26.0,Cincinnati Bengals,17.0,456.0,2145.0,17.0,4.7,126.2,-33.94
27.0,Washington Commanders,17.0,480.0,2155.0,15.0,4.5,126.8,-4.12
28.0,Green Bay Packers,17.0,493.0,2181.0,15.0,4.4,128.3,-17.64
29.0,New York Giants,17.0,475.0,2251.0,24.0,4.7,132.4,-22.38
30.0,Denver Broncos,17.0,469.0,2331.0,15.0,5.0,137.1,-9.82
31.0,Seattle Seahawks,17.0,515.0,2352.0,24.0,4.6,138.4,-40.04
32.0,Arizona Cardinals,17.0,521.0,2434.0,19.0,4.7,143.2,-30.78
,Avg Team,,456.4,1915.2,14.7,4.2,112.7,4.3
,League Total,,14606.0,61287.0,470.0,4.2,112.7,
,Avg Tm/G,,26.8,112.7,0.9,4.2,112.7,
