Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Washington Commanders,17,337,227,3167,29,503.6,758.6,617.1,29.6,44.6,36.3
Philadelphia Eagles,17,407,256,3125,27,500.3,779.3,630.3,29.4,45.8,37.1
Detroit Lions,17,357,227,3081,22,450.8,697.7,564.2,26.5,41.0,33.2
Los Angeles Chargers,17,330,202,2926,20,439.68,662.5,540.5,25.9,39.0,31.8
New York Giants,17,370,238,2916,16,415.6,678.6,534.6,24.4,39.9,31.4
Minnesota Vikings,17,369,253,3014,17,409.66,684.1,533.6,24.1,40.2,31.4
Cincinnati Bengals,17,306,188,2932,15,407.9,614.9,501.9,24.0,36.2,29.5
Los Angeles Rams,17,365,212,2851,15,402.8,648.8,520.8,23.7,38.2,30.6
Tennessee Titans,17,360,250,2989,15,393.0,668.9,517.9,23.1,39.3,30.5
Tampa Bay Buccaneers,17,345,226,3043,14,390.52,644.2,503.2,23.0,37.9,29.6
Miami Dolphins,17,333,225,2665,17,380.7,629.7,493.2,22.4,37.0,29.0
Jacksonville Jaguars,17,342,218,2667,18,380.62,621.6,490.6,22.4,36.6,28.9
Seattle Seahawks,17,337,222,2703,14,372.7,621.2,483.2,21.9,36.5,28.4
Pittsburgh Steelers,17,326,194,2776,12,356.1,568.0,453.0,20.9,33.4,26.6
San Francisco 49ers,17,357,232,2497,16,355.1,606.1,471.1,20.9,35.7,27.7
Arizona Cardinals,17,289,200,2534,16,354.9,570.8,454.8,20.9,33.6,26.8
Chicago Bears,17,323,202,2419,17,353.6,564.5,454.5,20.8,33.2,26.7
Las Vegas Raiders,17,299,197,2474,16,348.2,556.9,444.4,20.5,32.8,26.1
Denver Broncos,17,297,193,2617,13,346.76,555.8,443.3,20.4,32.7,26.1
Indianapolis Colts,17,309,192,2529,15,344.8,557.6,440.6,20.3,32.8,25.9
Houston Texans,17,296,193,2724,10,344.68,551.7,441.2,20.3,32.5,26.0
New England Patriots,17,332,211,2509,14,344.3,565.1,449.6,20.3,33.2,26.4
Green Bay Packers,17,293,196,2449,13,344.2,553.5,446.5,20.2,32.6,26.3
New Orleans Saints,17,320,186,2436,12,326.8,523.3,421.3,19.2,30.8,24.8
Atlanta Falcons,17,296,176,2160,16,320.1,509.0,408.0,18.8,29.9,24.0
Buffalo Bills,17,295,194,2192,13,314.6,528.3,417.3,18.5,31.1,24.5
Dallas Cowboys,17,306,180,2281,11,308.86,497.9,398.9,18.2,29.3,23.5
Baltimore Ravens,17,384,216,2379,12,304.8,545.8,418.8,17.9,32.1,24.6
Cleveland Browns,17,318,167,2076,13,300.8,479.3,383.8,17.7,28.2,22.6
Carolina Panthers,17,269,174,2063,11,288.9,472.6,375.6,17.0,27.8,22.1
Kansas City Chiefs,17,323,183,2119,11,284.06,475.1,375.6,16.7,27.9,22.1
New York Jets,17,253,150,1711,5,213.4,385.9,287.9,12.6,22.7,16.9
