Unnamed: 0,LVR,DEN,week,year,game_id
First Downs,20,19,11.0,2022,160
Rush-Yds-TDs,24-109-0,28-94-1,11.0,2022,160
Cmp-Att-Yd-TD-INT,23-37-307-2-0,24-31-247-0-0,11.0,2022,160
Sacked-Yards,1-9,3-21,11.0,2022,160
Net Pass Yards,298,226,11.0,2022,160
Total Yards,407,320,11.0,2022,160
Fumbles-Lost,0-0,2-0,11.0,2022,160
Turnovers,0,0,11.0,2022,160
Penalties-Yards,9-98,5-45,11.0,2022,160
Third Down Conv.,3-11,3-12,11.0,2022,160
Fourth Down Conv.,0-0,0-0,11.0,2022,160
Time of Possession,32:39,28:57,11.0,2022,160
