Quarter,Time,Down,ToGo,Location,DET,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Giants to receive the opening kickoff.",,,11.0,2022,153
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 60 yards, returned by Gary Brightwell for 18 yards (tackle by Anthony Pittman)",0.0,0.48,11.0,2022,153
1.0,14:53,1.0,10.0,NYG 23,0.0,0.0,Saquon Barkley right tackle for -3 yards (tackle by John Cominsky),0.48,-0.47,11.0,2022,153
1.0,14:14,2.0,13.0,NYG 20,0.0,0.0,Daniel Jones pass complete short left to Saquon Barkley for 7 yards (tackle by Malcolm Rodriguez),-0.47,-0.23,11.0,2022,153
1.0,13:41,3.0,6.0,NYG 27,0.0,0.0,Daniel Jones sacked by Alim McNeill for -8 yards,-0.23,-2.14,11.0,2022,153
1.0,13:06,4.0,14.0,NYG 19,0.0,0.0,"Jamie Gillan punts 51 yards, fair catch by Kalif Raymond at DET-30",-2.14,-0.94,11.0,2022,153
1.0,12:58,1.0,10.0,DET 30,0.0,0.0,Jamaal Williams right guard for 12 yards (tackle by Adoree' Jackson),0.94,1.73,11.0,2022,153
1.0,12:17,1.0,10.0,DET 42,0.0,0.0,Jared Goff pass incomplete short left,1.73,1.19,11.0,2022,153
1.0,12:08,2.0,10.0,DET 42,0.0,0.0,Justin Jackson right end for 2 yards (tackle by Adoree' Jackson and Jihad Ward),1.19,0.76,11.0,2022,153
1.0,11:33,3.0,8.0,DET 44,0.0,0.0,"Jared Goff pass incomplete short left intended for Amon-Ra St. Brown. Penalty on Oshane Ximines: Roughing the Passer, 15 yards (accepted) (no play)",0.76,2.85,11.0,2022,153
1.0,11:33,1.0,10.0,NYG 41,0.0,0.0,Jamaal Williams right tackle for 4 yards (tackle by Micah McFadden and Dexter Lawrence),2.85,2.85,11.0,2022,153
1.0,10:59,2.0,6.0,NYG 37,0.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 5 yards (tackle by Darnay Holmes),2.85,2.81,11.0,2022,153
1.0,10:37,3.0,1.0,NYG 32,0.0,0.0,Jared Goff up the middle for 2 yards (tackle by Kayvon Thibodeaux),2.81,3.58,11.0,2022,153
1.0,9:59,1.0,10.0,NYG 30,0.0,0.0,Jared Goff pass complete short right to Brock Wright for 16 yards (tackle by Micah McFadden),3.58,4.65,11.0,2022,153
1.0,9:16,1.0,10.0,NYG 14,0.0,0.0,D'Andre Swift left guard for 2 yards (tackle by Leonard Williams),4.65,4.33,11.0,2022,153
1.0,8:40,2.0,8.0,NYG 12,0.0,0.0,Jared Goff pass incomplete short left intended for Jason Cabinda (defended by Jihad Ward),4.33,3.43,11.0,2022,153
1.0,8:33,3.0,8.0,NYG 12,0.0,0.0,Jared Goff pass complete short right to D'Andre Swift for 6 yards (tackle by Julian Love and Leonard Williams),3.43,3.01,11.0,2022,153
1.0,7:55,4.0,2.0,NYG 6,3.0,0.0,Michael Badgley 24 yard field goal good,3.01,3.0,11.0,2022,153
1.0,7:52,,,DET 35,3.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,153
1.0,7:52,1.0,10.0,NYG 25,3.0,0.0,Daniel Jones pass complete short right to Darius Slayton for 17 yards (tackle by Jeff Okudah and Will Harris),0.61,1.73,11.0,2022,153
1.0,7:31,1.0,10.0,NYG 42,3.0,0.0,Saquon Barkley left tackle for -1 yards (tackle by Alim McNeill),1.73,1.05,11.0,2022,153
1.0,6:54,2.0,11.0,NYG 41,3.0,0.0,Daniel Jones pass complete short left to Lawrence Cager for 7 yards (tackle by Malcolm Rodriguez),1.05,1.29,11.0,2022,153
1.0,6:31,3.0,4.0,NYG 48,3.0,0.0,Saquon Barkley right guard for 3 yards (tackle by John Cominsky),1.29,0.0,11.0,2022,153
1.0,5:55,4.0,1.0,DET 49,3.0,0.0,Matt Breida left end for 5 yards (tackle by DeShon Elliott),0.0,2.65,11.0,2022,153
1.0,5:20,1.0,10.0,DET 44,3.0,0.0,Saquon Barkley up the middle for 1 yard (tackle by Will Harris and Isaiah Buggs),2.65,2.25,11.0,2022,153
1.0,4:52,2.0,9.0,DET 43,3.0,0.0,"Saquon Barkley left end for 2 yards (tackle by Jeff Okudah). Penalty on Nick Gates: Offensive Holding, 10 yards (declined)",2.25,1.82,11.0,2022,153
