Quarter,Time,Down,ToGo,Location,CLE,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Browns to receive the opening kickoff.",,,11.0,2022,152
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 61 yards, returned by Jerome Ford for 21 yards (tackle by Nyheim Hines)",0.0,0.61,11.0,2022,152
1.0,14:52,1.0,10.0,CLE 25,0.0,0.0,Jacoby Brissett pass complete short right to Nick Chubb for 17 yards (tackle by Tyrel Dodson and Matt Milano),0.61,1.73,11.0,2022,152
1.0,14:08,1.0,10.0,CLE 42,0.0,0.0,Nick Chubb left tackle for 3 yards (tackle by DaQuan Jones),1.73,1.59,11.0,2022,152
1.0,13:32,2.0,7.0,CLE 45,0.0,0.0,Nick Chubb up the middle for -4 yards (tackle by Ed Oliver),1.59,0.37,11.0,2022,152
1.0,12:54,3.0,11.0,CLE 41,0.0,0.0,Jacoby Brissett scrambles up the middle for 22 yards (tackle by Damar Hamlin and Jordan Poyer),0.37,3.12,11.0,2022,152
1.0,12:06,1.0,10.0,BUF 37,0.0,0.0,Nick Chubb right tackle for 3 yards (tackle by Tyrel Dodson),3.12,2.98,11.0,2022,152
1.0,11:28,2.0,7.0,BUF 34,0.0,0.0,Jacoby Brissett pass complete short right to David Njoku for -4 yards (tackle by Jordan Poyer),2.98,1.75,11.0,2022,152
1.0,10:42,3.0,11.0,BUF 38,0.0,0.0,Jacoby Brissett pass complete short middle to Amari Cooper for 16 yards (tackle by Taron Johnson),1.75,4.11,11.0,2022,152
1.0,9:56,1.0,10.0,BUF 22,0.0,0.0,Nick Chubb left tackle for -3 yards (tackle by Ed Oliver and Von Miller),4.11,3.16,11.0,2022,152
1.0,9:08,2.0,13.0,BUF 25,6.0,0.0,"Jacoby Brissett pass complete deep right to Amari Cooper for 25 yards, touchdown",3.16,7.0,11.0,2022,152
1.0,9:02,,,BUF 15,7.0,0.0,Cade York kicks extra point good,0.0,0.0,11.0,2022,152
1.0,9:02,,,CLE 35,7.0,0.0,"Cade York kicks off 62 yards, returned by Nyheim Hines for 32 yards (tackle by Greedy Williams)",0.0,1.27,11.0,2022,152
1.0,8:56,1.0,10.0,BUF 35,7.0,0.0,Josh Allen pass complete short middle to Devin Singletary for 5 yards (tackle by Jeremiah Owusu-Koramoah),1.27,1.4,11.0,2022,152
1.0,8:22,2.0,5.0,BUF 40,7.0,0.0,Josh Allen up the middle for 2 yards (tackle by Myles Garrett),1.4,0.96,11.0,2022,152
1.0,7:41,3.0,3.0,BUF 42,7.0,0.0,Josh Allen pass incomplete short right,0.96,-0.59,11.0,2022,152
1.0,7:32,4.0,3.0,BUF 42,7.0,0.0,"Sam Martin punts 47 yards, fair catch by Donovan Peoples-Jones at CLE-11",-0.59,0.37,11.0,2022,152
1.0,7:25,1.0,10.0,CLE 11,7.0,0.0,Nick Chubb right tackle for 4 yards (tackle by Tim Settle and Matt Milano),-0.37,-0.43,11.0,2022,152
1.0,6:46,2.0,6.0,CLE 15,7.0,0.0,Jacoby Brissett pass incomplete deep right intended for David Njoku (defended by Jordan Poyer),-0.43,-0.95,11.0,2022,152
1.0,6:37,3.0,6.0,CLE 15,7.0,0.0,"Jacoby Brissett pass complete short left to Donovan Peoples-Jones for no gain (tackle by Taron Johnson and Boogie Basham). Penalty on Kareem Hunt: Offensive Holding, 7 yards (accepted) (no play)",-0.95,-1.77,11.0,2022,152
1.0,6:07,3.0,13.0,CLE 8,7.0,0.0,Jacoby Brissett pass complete short left to David Bell for 8 yards (tackle by Boogie Basham),-1.77,-2.39,11.0,2022,152
1.0,5:29,4.0,5.0,CLE 16,7.0,0.0,"Corey Bojorquez punts 44 yards, returned by Nyheim Hines for 28 yards (tackle by Jordan Kunaszyk)",-2.39,-3.45,11.0,2022,152
1.0,5:16,1.0,10.0,CLE 32,7.0,0.0,Josh Allen pass complete short left to Gabriel Davis for 8 yards (tackle by Martin Emerson),3.45,3.98,11.0,2022,152
1.0,4:24,2.0,2.0,CLE 24,7.0,0.0,James Cook right end for no gain (tackle by Grant Delpit and Denzel Ward),3.98,3.27,11.0,2022,152
1.0,3:44,3.0,2.0,CLE 24,7.0,0.0,Josh Allen pass incomplete short middle intended for Gabriel Davis,3.27,1.99,11.0,2022,152
1.0,3:37,4.0,2.0,CLE 24,7.0,3.0,Tyler Bass 42 yard field goal good,1.99,3.0,11.0,2022,152
1.0,3:32,,,BUF 35,7.0,3.0,"Tyler Bass kicks off 58 yards, returned by Jerome Ford for 28 yards (tackle by Tyler Matakevich)",0.0,1.27,11.0,2022,152
1.0,3:26,1.0,10.0,CLE 35,7.0,3.0,Jacoby Brissett pass complete short right to Nick Chubb for 26 yards (tackle by Matt Milano and Jordan Poyer),1.27,2.98,11.0,2022,152
1.0,2:40,1.0,10.0,BUF 39,7.0,3.0,Jacoby Brissett pass complete short left to David Bell for 2 yards (tackle by Taron Johnson),2.98,2.71,11.0,2022,152
1.0,2:00,2.0,8.0,BUF 37,7.0,3.0,Nick Chubb left end for 12 yards (tackle by Jordan Poyer),2.71,3.91,11.0,2022,152
1.0,1:15,1.0,10.0,BUF 25,7.0,3.0,Nick Chubb right end for 5 yards (tackle by DaQuan Jones and Matt Milano),3.91,4.04,11.0,2022,152
1.0,0:32,2.0,5.0,BUF 20,7.0,3.0,Jacoby Brissett pass complete short middle to Amari Cooper for 12 yards (tackle by Damar Hamlin),4.04,5.37,11.0,2022,152
2.0,15:00,1.0,8.0,BUF 8,7.0,3.0,Nick Chubb left end for -6 yards (tackle by Matt Milano),5.37,3.58,11.0,2022,152
2.0,14:17,2.0,14.0,BUF 14,7.0,3.0,Jacoby Brissett pass incomplete short middle intended for Harrison Bryant,3.58,3.0,11.0,2022,152
2.0,14:13,3.0,14.0,BUF 14,7.0,3.0,Jacoby Brissett pass incomplete short middle intended for Pharaoh Brown,3.0,2.51,11.0,2022,152
2.0,14:08,4.0,14.0,BUF 14,10.0,3.0,Cade York 32 yard field goal good,2.51,3.0,11.0,2022,152
2.0,14:05,,,CLE 35,10.0,3.0,"Cade York kicks off 57 yards, returned by Nyheim Hines for 23 yards (tackle by Jerome Ford and D'Ernest Johnson)",0.0,1.0,11.0,2022,152
2.0,13:57,1.0,10.0,BUF 31,10.0,3.0,Devin Singletary left tackle for no gain (tackle by Sione Takitaki and Jeremiah Owusu-Koramoah),1.0,0.46,11.0,2022,152
2.0,13:21,2.0,10.0,BUF 31,10.0,3.0,Josh Allen pass complete short right to Dawson Knox for 3 yards (tackle by Jeremiah Owusu-Koramoah and Martin Emerson),0.46,0.17,11.0,2022,152
2.0,12:37,3.0,7.0,BUF 34,10.0,3.0,Josh Allen sacked by Myles Garrett for -6 yards,0.17,-1.5,11.0,2022,152
2.0,11:57,4.0,13.0,BUF 28,10.0,3.0,"Sam Martin punts 52 yards, fair catch by Donovan Peoples-Jones at CLE-20. Penalty on Ronnie Harrison: Offensive Holding, 10 yards (accepted)",-1.5,0.38,11.0,2022,152
2.0,11:49,1.0,10.0,CLE 10,10.0,3.0,Jacoby Brissett pass complete short left to Amari Cooper for 9 yards (tackle by Dane Jackson),-0.38,0.24,11.0,2022,152
2.0,11:13,2.0,1.0,CLE 19,10.0,3.0,Kareem Hunt left tackle for 3 yards (tackle by Taron Johnson and Tyrel Dodson),0.24,0.41,11.0,2022,152
2.0,10:37,1.0,10.0,CLE 22,10.0,3.0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 8 yards (tackle by Dane Jackson),0.41,0.95,11.0,2022,152
2.0,10:07,2.0,2.0,CLE 30,10.0,3.0,Jacoby Brissett pass complete short right to Amari Cooper for 5 yards (tackle by Xavier Rhodes),0.95,1.27,11.0,2022,152
2.0,9:53,1.0,10.0,CLE 35,10.0,3.0,Kareem Hunt right end for 6 yards (tackle by Xavier Rhodes and Damar Hamlin),1.27,1.53,11.0,2022,152
2.0,9:22,2.0,4.0,CLE 41,10.0,3.0,Kareem Hunt right tackle for 5 yards (tackle by Matt Milano and Ed Oliver),1.53,1.99,11.0,2022,152
2.0,8:52,1.0,10.0,CLE 46,10.0,3.0,Kareem Hunt left tackle for 7 yards (tackle by Taron Johnson and Damar Hamlin),1.99,2.4,11.0,2022,152
2.0,8:23,2.0,3.0,BUF 47,10.0,3.0,"Jacoby Brissett aborted snap, recovered by Matt Milano at BUF-48",2.4,-2.13,11.0,2022,152
2.0,8:17,1.0,10.0,BUF 48,10.0,3.0,Josh Allen pass incomplete short right,2.13,1.58,11.0,2022,152
2.0,8:14,2.0,10.0,BUF 48,10.0,3.0,Josh Allen pass incomplete short left intended for James Cook,1.58,0.89,11.0,2022,152
2.0,8:12,3.0,10.0,BUF 48,10.0,3.0,Josh Allen pass complete short right to Dawson Knox for 11 yards (tackle by Grant Delpit),0.89,2.85,11.0,2022,152
2.0,7:47,1.0,10.0,CLE 41,10.0,3.0,"Josh Allen pass incomplete short right intended for Gabriel Davis. Penalty on Dion Dawkins: Illegal Shift, 5 yards (offset) Penalty on CLE: Defensive Too Many Men on Field, 5 yards (offset) (no play)",2.85,2.85,11.0,2022,152
2.0,7:38,1.0,10.0,CLE 41,10.0,3.0,James Cook up the middle for 16 yards (tackle by John Johnson),2.85,3.91,11.0,2022,152
2.0,6:59,1.0,10.0,CLE 25,10.0,3.0,Devin Singletary right tackle for 9 yards (tackle by Sione Takitaki and Martin Emerson),3.91,4.75,11.0,2022,152
2.0,6:45,2.0,1.0,CLE 16,10.0,3.0,Devin Singletary left tackle for 2 yards (tackle by Sione Takitaki),4.75,4.65,11.0,2022,152
