Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Matthew Stafford,LAR,0,0,0,0,0,11.0,2022,159
Bryce Perkins,LAR,0,0,0,0,0,11.0,2022,159
Cam Akers,LAR,0,0,0,0,0,11.0,2022,159
Kyren Williams,LAR,2,1,8,0,8,11.0,2022,159
Darrell Henderson,LAR,0,0,0,0,0,11.0,2022,159
Tutu Atwell,LAR,1,1,62,1,62,11.0,2022,159
Allen Robinson,LAR,5,4,47,1,17,11.0,2022,159
Tyler Higbee,LAR,8,4,45,0,20,11.0,2022,159
Van Jefferson,LAR,5,3,41,0,20,11.0,2022,159
Ben Skowronek,LAR,4,1,4,0,4,11.0,2022,159
Brandon Powell,LAR,2,2,16,0,8,11.0,2022,159
Andy Dalton,NOR,0,0,0,0,0,11.0,2022,159
Taysom Hill,NOR,1,1,8,0,8,11.0,2022,159
Alvin Kamara,NOR,5,4,47,0,15,11.0,2022,159
Chris Olave,NOR,6,5,102,1,53,11.0,2022,159
Juwan Johnson,NOR,4,3,47,1,26,11.0,2022,159
Jarvis Landry,NOR,4,3,33,1,18,11.0,2022,159
Adam Trautman,NOR,3,3,12,0,7,11.0,2022,159
Rashid Shaheed,NOR,2,1,8,0,8,11.0,2022,159
Marquez Callaway,NOR,1,1,6,0,6,11.0,2022,159
David Johnson,NOR,1,1,11,0,11,11.0,2022,159
