Quarter,Time,Tm,Detail,CAR,BAL,week,year,game_id
2.0,0:00,Ravens,Justin Tucker 32 yard field goal,0,3,11.0,2022,157
3.0,8:07,Panthers,Eddy Piñeiro 32 yard field goal,3,3,11.0,2022,157
4.0,8:27,Ravens,Justin Tucker 37 yard field goal,3,6,11.0,2022,157
,7:16,Ravens,Lamar Jackson 1 yard rush (Justin Tucker kick),3,13,11.0,2022,157
