Unnamed: 0,SFO,ARI,week,year,game_id
First Downs,21,19,11.0,2022,164
Rush-Yds-TDs,28-159-1,24-67-1,11.0,2022,164
Cmp-Att-Yd-TD-INT,20-29-228-4-0,30-44-277-0-2,11.0,2022,164
Sacked-Yards,0-0,3-30,11.0,2022,164
Net Pass Yards,228,247,11.0,2022,164
Total Yards,387,314,11.0,2022,164
Fumbles-Lost,0-0,1-0,11.0,2022,164
Turnovers,0,2,11.0,2022,164
Penalties-Yards,3-30,5-50,11.0,2022,164
Third Down Conv.,6-11,8-16,11.0,2022,164
Fourth Down Conv.,0-0,0-2,11.0,2022,164
Time of Possession,29:09,30:51,11.0,2022,164
