Quarter,Time,Down,ToGo,Location,WAS,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Commanders to receive the opening kickoff.",,,11.0,2022,154
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 62 yards, returned by Antonio Gibson for 21 yards (tackle by M.J. Stewart)",0.0,0.54,11.0,2022,154
1.0,14:55,1.0,10.0,WAS 24,0.0,0.0,Brian Robinson left end for 1 yard (tackle by Ogbonnia Okoronkwo and Christian Kirksey),0.54,0.13,11.0,2022,154
1.0,14:16,2.0,9.0,WAS 25,0.0,0.0,Taylor Heinicke pass incomplete deep left intended for Terry McLaurin,0.13,-0.56,11.0,2022,154
1.0,14:08,3.0,9.0,WAS 25,0.0,0.0,Taylor Heinicke pass incomplete short right intended for Terry McLaurin,-0.56,-1.7,11.0,2022,154
1.0,14:04,4.0,9.0,WAS 25,0.0,0.0,"Tress Way punts 52 yards, returned by Desmond King for 9 yards (tackle by Christian Holmes and Camaron Cheeseman)",-1.7,-1.07,11.0,2022,154
1.0,13:51,1.0,10.0,HOU 32,0.0,0.0,Davis Mills pass complete short left to Jordan Akins for no gain (tackle by Kendall Fuller and Kamren Curl),1.07,0.53,11.0,2022,154
1.0,13:24,2.0,10.0,HOU 32,6.0,0.0,"Davis Mills pass short right intended for Brandin Cooks is intercepted by Kendall Fuller at HOU-37 and returned for 37 yards, touchdown",0.53,-7.0,11.0,2022,154
1.0,13:16,,,HOU 15,6.0,0.0,"Penalty on WAS: Delay of Game, 5 yards (accepted) (no play)",0.0,0.0,11.0,2022,154
1.0,13:16,,,HOU 20,7.0,0.0,Joey Slye kicks extra point good,0.0,0.0,11.0,2022,154
1.0,13:16,,,WAS 35,7.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,154
1.0,13:16,1.0,10.0,HOU 25,7.0,0.0,"Dameon Pierce right guard for -3 yards (tackle by Jonathan Allen) Penalty on HOU: Illegal Shift, 5 yards (declined)",0.61,-0.34,11.0,2022,154
1.0,13:01,2.0,13.0,HOU 22,7.0,0.0,Dameon Pierce right tackle for -2 yards (tackle by Casey Toohill),-0.34,-1.29,11.0,2022,154
1.0,12:20,3.0,15.0,HOU 20,7.0,0.0,Davis Mills pass complete short right to Chris Moore for 1 yard (tackle by Kamren Curl),-1.29,-1.96,11.0,2022,154
1.0,11:44,4.0,14.0,HOU 21,7.0,0.0,"Cameron Johnston punts 43 yards, returned by Dax Milne for 6 yards (tackle by Jon Weeks)",-1.96,-1.73,11.0,2022,154
1.0,11:38,1.0,10.0,WAS 42,7.0,0.0,Brian Robinson up the middle for -1 yards (tackle by Christian Kirksey),1.73,1.05,11.0,2022,154
1.0,10:59,2.0,11.0,WAS 41,7.0,0.0,Antonio Gibson left guard for 5 yards (tackle by Michael Dwumfour),1.05,1.03,11.0,2022,154
1.0,10:17,3.0,6.0,WAS 46,7.0,0.0,Taylor Heinicke pass incomplete short left intended for Curtis Samuel,1.03,-0.32,11.0,2022,154
1.0,10:12,4.0,6.0,WAS 46,7.0,0.0,Tress Way punts 29 yards out of bounds,-0.32,-0.61,11.0,2022,154
1.0,10:03,1.0,10.0,HOU 25,7.0,0.0,Dameon Pierce right tackle for 1 yard (tackle by Bobby McCain),0.61,0.2,11.0,2022,154
1.0,9:23,2.0,9.0,HOU 26,7.0,0.0,Dameon Pierce right guard for 1 yard (tackle by James Smith-Williams),0.2,-0.36,11.0,2022,154
1.0,8:46,3.0,8.0,HOU 27,7.0,0.0,"Davis Mills pass complete short middle to Nico Collins for 7 yards (tackle by Kamren Curl). Penalty on Kenyon Green: Offensive Holding, 10 yards (declined)",-0.36,-1.11,11.0,2022,154
1.0,8:36,4.0,1.0,HOU 34,7.0,0.0,"Cameron Johnston punts 48 yards, returned by Dax Milne for no gain (tackle by Will Redmond)",-1.11,-0.04,11.0,2022,154
1.0,8:28,1.0,10.0,WAS 18,7.0,0.0,Taylor Heinicke pass complete deep middle to Terry McLaurin for 19 yards (tackle by Jalen Pitre),0.04,1.4,11.0,2022,154
1.0,7:49,1.0,10.0,WAS 37,7.0,0.0,Jahan Dotson left end for 3 yards (tackle by Desmond King),1.4,1.26,11.0,2022,154
1.0,7:11,2.0,7.0,WAS 40,7.0,0.0,Taylor Heinicke pass incomplete short right,1.26,0.56,11.0,2022,154
1.0,7:05,3.0,7.0,WAS 40,7.0,0.0,Taylor Heinicke pass complete short left to Terry McLaurin for 10 yards (tackle by Desmond King),0.56,2.26,11.0,2022,154
1.0,6:32,1.0,10.0,WAS 50,7.0,0.0,Terry McLaurin right end for 1 yard (tackle by Christian Kirksey),2.26,1.85,11.0,2022,154
1.0,5:48,2.0,9.0,HOU 49,7.0,0.0,Antonio Gibson left guard for 3 yards (tackle by Jonathan Owens and Mario Addison),1.85,1.55,11.0,2022,154
1.0,5:09,3.0,6.0,HOU 46,7.0,0.0,Taylor Heinicke pass incomplete short left intended for Jahan Dotson,1.55,0.2,11.0,2022,154
1.0,5:01,4.0,6.0,HOU 46,7.0,0.0,"Tress Way punts 46 yards, touchback.",0.2,-0.28,11.0,2022,154
1.0,4:53,1.0,10.0,HOU 20,7.0,0.0,Davis Mills pass complete short left to Chris Moore for 4 yards (tackle by Montez Sweat),0.28,0.27,11.0,2022,154
1.0,4:22,2.0,6.0,HOU 24,7.0,0.0,Davis Mills pass complete short right to Nico Collins for 5 yards (tackle by Bobby McCain),0.27,0.23,11.0,2022,154
1.0,3:47,3.0,1.0,HOU 29,7.0,0.0,Davis Mills up the middle for 2 yards (tackle by Jamin Davis),0.23,1.0,11.0,2022,154
1.0,3:16,1.0,10.0,HOU 31,7.0,0.0,Dameon Pierce right guard for 2 yards (tackle by John Ridgeway and Darrick Forrest),1.0,0.73,11.0,2022,154
1.0,2:42,2.0,8.0,HOU 33,7.0,0.0,Davis Mills pass incomplete short right intended for Nico Collins,0.73,0.04,11.0,2022,154
1.0,2:37,3.0,8.0,HOU 33,7.0,0.0,Davis Mills sacked by Jonathan Allen for -9 yards,0.04,-1.77,11.0,2022,154
1.0,2:04,4.0,17.0,HOU 24,7.0,0.0,"Cameron Johnston punts 51 yards, returned by Dax Milne for no gain (tackle by Troy Hairston). Penalty on Christian Holmes: Offensive Holding, 10 yards (accepted)",-1.77,0.22,11.0,2022,154
1.0,1:55,1.0,10.0,WAS 15,7.0,0.0,Brian Robinson left guard for 14 yards (tackle by Steven Nelson),-0.22,0.87,11.0,2022,154
1.0,1:14,1.0,10.0,WAS 29,7.0,0.0,Brian Robinson right end for 5 yards (tackle by Jake Hansen),0.87,1.0,11.0,2022,154
1.0,0:30,2.0,5.0,WAS 34,7.0,0.0,Taylor Heinicke pass complete short left to Jahan Dotson for 13 yards (tackle by Steven Nelson),1.0,2.06,11.0,2022,154
2.0,15:00,1.0,10.0,WAS 47,7.0,0.0,Antonio Gibson right end for 9 yards (tackle by M.J. Stewart),2.06,2.73,11.0,2022,154
2.0,14:24,2.0,1.0,HOU 44,7.0,0.0,Curtis Samuel right end for 8 yards (tackle by Tavierre Thomas and M.J. Stewart),2.73,3.18,11.0,2022,154
2.0,13:40,1.0,10.0,HOU 36,7.0,0.0,Antonio Gibson left end for 5 yards (tackle by Christian Kirksey),3.18,3.31,11.0,2022,154
